device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2025-07-13T21:02:10Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,1000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T21:02:09Z,Amazon.com
2025-07-13T20:52:06Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,6465000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T19:04:21Z,Amazon.com
2025-07-13T19:04:24Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T19:04:22Z,Amazon.com
2025-07-13T16:43:25Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1430000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T16:19:35Z,Amazon.com
2025-07-13T16:19:40Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,4000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T16:19:36Z,Amazon.com
2025-07-13T05:39:59Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1708000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T05:11:31Z,Amazon.com
2025-07-13T05:11:35Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-13T05:11:33Z,Amazon.com
2025-07-12T23:56:28Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2835000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T23:09:13Z,Amazon.com
2025-07-12T23:09:18Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T23:09:15Z,Amazon.com
2025-07-12T22:16:38Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2771000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T21:30:27Z,Amazon.com
2025-07-12T21:30:31Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T21:30:29Z,Amazon.com
2025-07-12T19:06:04Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,101000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T19:04:23Z,Amazon.com
2025-07-12T19:04:27Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T19:04:24Z,Amazon.com
2025-07-12T17:54:38Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1697000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:26:21Z,Amazon.com
2025-07-12T17:26:22Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,23000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:25:59Z,Amazon.com
2025-07-12T17:26:19Z,G0016T03101203AQ,United States,com.lab126.KPP_LIBRARY,Not Available,Not Available,Ereader,Not Available,Not Available,1,20000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:25:59Z,Amazon.com
2025-07-12T17:26:01Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,683000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:14:38Z,Amazon.com
2025-07-12T17:14:38Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,11000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:14:27Z,Amazon.com
2025-07-12T17:14:34Z,G0016T03101203AQ,United States,com.lab126.KPP_LIBRARY,Not Available,Not Available,Ereader,Not Available,Not Available,1,8000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:14:26Z,Amazon.com
2025-07-12T17:14:29Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,93000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:12:56Z,Amazon.com
2025-07-12T17:12:56Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,18000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:12:38Z,Amazon.com
2025-07-12T17:12:53Z,G0016T03101203AQ,United States,com.lab126.KPP_LIBRARY,Not Available,Not Available,Ereader,Not Available,Not Available,1,15000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:12:38Z,Amazon.com
2025-07-12T17:12:42Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,176000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:09:46Z,Amazon.com
2025-07-12T17:09:50Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T17:09:48Z,Amazon.com
2025-07-12T03:49:03Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1355000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T03:26:28Z,Amazon.com
2025-07-12T03:26:31Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T03:26:29Z,Amazon.com
2025-07-12T03:24:31Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2086000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T02:49:45Z,Amazon.com
2025-07-12T02:49:50Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T02:49:47Z,Amazon.com
2025-07-12T01:25:12Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,3609000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T00:25:03Z,Amazon.com
2025-07-12T00:25:08Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-12T00:25:05Z,Amazon.com
2025-07-11T21:22:22Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2016000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T20:48:46Z,Amazon.com
2025-07-11T20:48:51Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T20:48:48Z,Amazon.com
2025-07-11T20:15:48Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,897000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T20:00:51Z,Amazon.com
2025-07-11T20:15:46Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,897000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T20:00:49Z,Amazon.com
2025-07-11T06:24:32Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2345000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:45:27Z,Amazon.com
2025-07-11T05:45:27Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,23000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:45:04Z,Amazon.com
2025-07-11T05:45:25Z,G0016T03101203AQ,United States,com.lab126.KPP_LIBRARY,Not Available,Not Available,Ereader,Not Available,Not Available,1,22000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:45:03Z,Amazon.com
2025-07-11T05:45:06Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,23000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:44:43Z,Amazon.com
2025-07-11T05:44:43Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,105000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:42:58Z,Amazon.com
