device_record_time,Device Serial Number,device_type,country_of_residence,software_version,product_mode,metric_level,reason_code,Amazon Marketplace
2025-07-31T23:02:15Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-31T09:43:02Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-31T03:12:29Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-31T03:12:29Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-31T03:11:49Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T23:45:18Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T23:22:47Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-30T23:22:08Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T22:43:13Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-30T22:42:22Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T21:08:59Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T21:08:58Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-30T17:21:01Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T17:21:00Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-30T14:05:55Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T13:47:32Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T09:43:36Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T03:27:36Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-30T03:27:36Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-30T03:27:31Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-29T09:43:26Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-29T03:11:40Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-29T03:11:31Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-29T02:26:11Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-29T02:26:11Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-29T02:24:29Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-28T22:28:20Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-28T22:27:35Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-28T09:43:27Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-28T03:26:36Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-28T03:26:36Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-28T03:25:46Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-27T18:29:20Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-27T18:29:20Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-27T18:29:19Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-27T09:43:20Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-27T08:37:50Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T23:00:32Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T22:59:39Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T22:09:14Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T20:15:07Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T20:14:43Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T19:39:32Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T19:39:11Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T18:02:43Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T17:59:24Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T09:43:34Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T05:00:01Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T03:01:09Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-26T03:01:09Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-26T03:00:54Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
2025-07-25T22:35:53Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,SCREEN_TOUCH,Amazon.com
2025-07-25T22:34:55Z,G0016T03101203AQ,Ereader,United States,4417610025_release_5.18.1,DEFAULT,deviceAction,Not Available,Amazon.com
