Device Serial Number,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,Amazon Device Model Name,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
Third party device/Application,ADULT,SECONDARY,Andrew's 2nd Android Device,2024-09-13T00:08:16.233Z,2025-05-14T21:17:17.800Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,174.194.96.219,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 3rd Android Device,2023-12-20T23:29:27.785Z,2023-12-20T23:29:27.785Z,2025-05-10T14:46:34.933Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 3rd Android Device,2023-12-20T23:29:20.891Z,2023-12-20T23:29:20.891Z,2025-05-10T14:46:35.124Z,INACTIVE,0,QUAD-CORE A133 c3,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13438775123004068A3GUQNOIIEF57X,2023-09-18T16:31:00.400Z,2023-09-18T16:31:00.400Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13154946308291729A16ZV8BU3SN1N3,2023-01-05T15:32:16.596Z,2023-01-05T15:32:16.596Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13567257778337057A16ZV8BU3SN1N3,2022-12-03T14:21:45.944Z,2022-12-03T14:21:45.944Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device (MP3),2022-07-01T16:44:55.777Z,2022-07-01T16:44:55.777Z,2025-05-10T14:46:35.236Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13384902902136504A16ZV8BU3SN1N3,2022-07-01T15:17:53.077Z,2022-07-01T15:17:53.077Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13567257778337057A34OIAVFALWTNH,2022-02-04T14:31:46.888Z,2022-02-04T14:31:46.888Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd Audible for Android,2021-08-13T23:51:13.248Z,2021-08-13T23:51:13.248Z,Not Available,ACTIVE,0,Pixel_4,Not Available,-300mm,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,SECONDARY,Andrew's 2nd Android Device,2021-08-12T14:49:58.072Z,2025-05-14T21:17:17.800Z,Not Available,ACTIVE,0,Pixel_6,Not Available,-300mm,72.33.2.146,Amazon,Not Applicable
Third party device/Application,ADULT,SECONDARY,Andrew's 2nd Android Device,2021-08-12T13:45:59.889Z,2025-05-14T21:17:17.800Z,Not Available,ACTIVE,0,Pixel 6,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,13493592915746367A16ZV8BU3SN1N3,2021-08-03T14:04:27.007Z,2021-08-03T14:04:27.007Z,Not Available,ACTIVE,0,none,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Audible for Android,2021-07-25T03:27:34.613Z,2021-07-25T03:27:34.613Z,Not Available,ACTIVE,0,Pixel_4,Not Available,-240mm,Not Available,Amazon,Not Applicable
G0016T03101203AQ,ADULT,PRIMARY,Blue Kindle,2021-07-22T01:17:01.517Z,2021-07-22T01:17:01.517Z,Not Available,ACTIVE,4417610025,Not Available,Not Available,-300mm,71.82.235.154,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd  3810X,2020-09-26T15:23:02.986Z,2020-09-26T15:23:02.986Z,Not Available,ACTIVE,0,3810X,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2020-07-11T22:01:06.378Z,2020-07-11T22:01:06.378Z,2025-05-10T14:46:34.999Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's  undefined,2020-06-09T23:20:04.374Z,2020-06-09T23:20:04.374Z,Not Available,ACTIVE,0,8000X,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2019-12-09T03:52:22.164Z,2019-12-09T03:52:22.164Z,2025-05-10T14:46:34.999Z,INACTIVE,0,Pixel_4,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2019-12-09T03:08:04.826Z,2019-12-09T03:08:04.826Z,2025-05-10T14:46:34.999Z,INACTIVE,0,Pixel 4,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd Audible for Android,2017-12-29T14:29:48.391Z,2017-12-29T14:29:48.391Z,2019-12-17T15:29:10.471Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Pixel,2017-11-30T08:18:59.971Z,2017-11-30T08:18:59.971Z,2019-12-17T15:28:56.670Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd PC,2017-10-11T17:28:37.990Z,2017-10-11T17:28:37.990Z,2025-05-10T14:46:35.385Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Kindle,2017-07-01T13:32:03.386Z,2017-07-01T13:32:03.386Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device (MP3),2017-07-01T13:31:51.606Z,2017-07-01T13:31:51.606Z,2019-12-17T15:29:19.863Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Pixel,2017-05-09T19:53:16.062Z,2017-05-09T19:53:16.062Z,2019-12-17T15:28:56.670Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Pixel,2017-04-26T18:20:52.207Z,2017-04-26T18:20:52.207Z,2019-12-17T15:28:56.670Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
