ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
FL3NEUQ2GAR53VPJA4427F67PPROIYBM,Not Available,kindle.continuous_read,2025-08-01T04:17:11Z,G0016T03101203AQ,PDOC,YJBinary,2025-08-01T04:17:13Z,2025-08-01T04:17:13Z,Not Available,Not Available,Not Available,Not Available,No
FL3NEUQ2GAR53VPJA4427F67PPROIYBM,Not Available,kindle.most_recent_read,2025-08-01T04:17:11Z,G0016T03101203AQ,PDOC,YJBinary,2025-08-01T04:17:13Z,2025-08-01T04:17:13Z,Not Available,Not Available,Not Available,Not Available,No
FL3NEUQ2GAR53VPJA4427F67PPROIYBM,Not Available,kindle.last_read,2025-08-01T04:17:11Z,G0016T03101203AQ,PDOC,YJBinary,2025-08-01T04:17:13Z,2025-08-01T04:17:13Z,Not Available,Not Available,Not Available,Not Available,No
SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Not Available,kindle.continuous_read,2025-08-01T04:46:40Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-31T04:21:03Z,2025-08-01T04:46:44Z,Not Available,Not Available,Not Available,Not Available,No
SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Not Available,kindle.most_recent_read,2025-08-01T04:46:40Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-31T04:21:03Z,2025-08-01T04:46:44Z,Not Available,Not Available,Not Available,Not Available,No
SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Not Available,kindle.last_read,2025-08-01T04:46:40Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-31T04:21:03Z,2025-08-01T04:46:44Z,Not Available,Not Available,Not Available,Not Available,No
CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Not Available,kindle.continuous_read,2025-07-31T03:13:35Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-27T19:19:12Z,2025-07-31T03:13:37Z,Not Available,Not Available,Not Available,Not Available,No
CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Not Available,kindle.most_recent_read,2025-07-31T03:13:35Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-27T19:19:12Z,2025-07-31T03:13:37Z,Not Available,Not Available,Not Available,Not Available,No
CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Not Available,kindle.last_read,2025-07-31T03:13:35Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-27T19:19:12Z,2025-07-31T03:13:37Z,Not Available,Not Available,Not Available,Not Available,No
LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Not Available,kindle.continuous_read,2025-07-27T02:14:55Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-26T05:07:34Z,2025-07-27T02:14:59Z,Not Available,Not Available,Not Available,Not Available,No
LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Not Available,kindle.most_recent_read,2025-07-27T02:14:55Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-26T05:07:34Z,2025-07-27T02:14:59Z,Not Available,Not Available,Not Available,Not Available,No
LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Not Available,kindle.last_read,2025-07-27T02:14:55Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-26T05:07:34Z,2025-07-27T02:14:59Z,Not Available,Not Available,Not Available,Not Available,No
KGYWKIBH5PNSEB3YPUA5KDHPGPGI5X4V,Not Available,kindle.continuous_read,2025-07-21T19:55:59Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-21T04:38:23Z,2025-07-21T19:55:59Z,Not Available,Not Available,Not Available,Not Available,No
KGYWKIBH5PNSEB3YPUA5KDHPGPGI5X4V,Not Available,kindle.most_recent_read,2025-07-21T19:55:59Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-21T04:38:23Z,2025-07-21T19:55:59Z,Not Available,Not Available,Not Available,Not Available,No
KGYWKIBH5PNSEB3YPUA5KDHPGPGI5X4V,Not Available,kindle.last_read,2025-07-21T19:55:59Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-21T04:38:22Z,2025-07-21T19:55:59Z,Not Available,Not Available,Not Available,Not Available,No
7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Not Available,kindle.continuous_read,2025-07-20T02:50:23Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-18T16:37:41Z,2025-07-20T02:50:25Z,Not Available,Not Available,Not Available,Not Available,No
7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Not Available,kindle.most_recent_read,2025-07-20T02:50:23Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-18T16:37:41Z,2025-07-20T02:50:25Z,Not Available,Not Available,Not Available,Not Available,No
7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Not Available,kindle.last_read,2025-07-20T02:50:23Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-18T16:37:41Z,2025-07-20T02:50:25Z,Not Available,Not Available,Not Available,Not Available,No
MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,Not Available,kindle.continuous_read,2025-07-17T21:13:29Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-16T03:29:33Z,2025-07-18T03:21:58Z,Not Available,Not Available,Not Available,Not Available,No
MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,Not Available,kindle.most_recent_read,2025-07-17T21:13:29Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-16T03:29:33Z,2025-07-18T03:21:58Z,Not Available,Not Available,Not Available,Not Available,No
MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,Not Available,kindle.last_read,2025-07-17T21:13:29Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-16T03:29:33Z,2025-07-18T03:21:58Z,Not Available,Not Available,Not Available,Not Available,No
RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,Not Available,kindle.continuous_read,2025-07-21T04:37:33Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-15T04:25:22Z,2025-07-21T04:37:35Z,Not Available,Not Available,Not Available,Not Available,No
RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,Not Available,kindle.most_recent_read,2025-07-21T04:37:33Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-15T04:25:22Z,2025-07-21T04:37:35Z,Not Available,Not Available,Not Available,Not Available,No
RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,Not Available,kindle.last_read,2025-07-21T04:37:33Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-15T04:25:22Z,2025-07-21T04:37:35Z,Not Available,Not Available,Not Available,Not Available,No
CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Not Available,kindle.continuous_read,2025-07-26T04:09:22Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-12T17:26:01Z,2025-07-26T04:09:24Z,Not Available,Not Available,Not Available,Not Available,No
CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Not Available,kindle.most_recent_read,2025-07-26T04:09:22Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-12T17:26:01Z,2025-07-26T04:09:24Z,Not Available,Not Available,Not Available,Not Available,No
CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Not Available,kindle.last_read,2025-07-26T04:09:22Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-12T17:26:01Z,2025-07-26T04:09:24Z,Not Available,Not Available,Not Available,Not Available,No
VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Not Available,kindle.continuous_read,2025-07-14T01:20:31Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-11T06:24:35Z,2025-07-14T01:20:33Z,Not Available,Not Available,Not Available,Not Available,No
VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Not Available,kindle.most_recent_read,2025-07-14T01:20:31Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-11T06:24:35Z,2025-07-14T01:20:33Z,Not Available,Not Available,Not Available,Not Available,No
VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Not Available,kindle.last_read,2025-07-14T01:20:31Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-11T06:24:35Z,2025-07-14T01:20:33Z,Not Available,Not Available,Not Available,Not Available,No
B0DJM99D77,The Woman in Suite 11: A Novel,kindle.continuous_read,2025-07-21T19:56:59Z,G0016T03101203AQ,EBOK,YJBinary,2025-07-11T05:45:06Z,2025-07-21T19:56:59Z,Not Available,Not Available,Not Available,Not Available,No
B0DJM99D77,The Woman in Suite 11: A Novel,kindle.most_recent_read,2025-07-21T19:56:59Z,G0016T03101203AQ,EBOK,YJBinary,2025-07-11T05:45:06Z,2025-07-21T19:56:59Z,Not Available,Not Available,Not Available,Not Available,No
B0DJM99D77,The Woman in Suite 11: A Novel,kindle.last_read,2025-07-15T03:59:45Z,G0016T03101203AQ,EBOK,YJBinary,2025-07-11T05:45:06Z,2025-07-15T03:59:46Z,Not Available,Not Available,Not Available,Not Available,No
SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Not Available,kindle.continuous_read,2025-07-10T21:30:24Z,G0016T03101203AQ,PDOC,YJBinary,2025-07-06T21:03:00Z,2025-07-10T22:32:53Z,Not Available,Not Available,Not Available,Not Available,No
