created_timestamp,preferred_marketplace,country,device_family,ASIN,ads_or_recommendations_type,ads_or_recommendations_asin,ad_or_recommendation_location,ad_or_recommendation_position
2023-03-11T21:58:05Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,Recommended for You Recommendation,B09Q7XH3N8,Lockscreen,Lockscreen
2023-04-01T07:47:24Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,More by Author Recommendation,B07KJVVV1Q,Lockscreen,Lockscreen
2023-04-05T22:28:50Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,More by Author Recommendation,B076JHZCMH,Lockscreen,Lockscreen
2023-07-03T20:17:32Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-03-04T04:53:00Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,More by Author Recommendation,B097XBXQ1T,Lockscreen,Lockscreen
2023-05-07T07:20:31Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B08BYVXGBF,Lockscreen,Lockscreen
2023-04-21T08:38:52Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B08B4751R9,Lockscreen,Lockscreen
2023-05-29T00:04:17Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-07-04T03:58:06Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B000GCFX6S,Lockscreen,Lockscreen
2023-04-17T21:04:28Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-25T18:41:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B09XM4GDLV,Lockscreen,Lockscreen
2023-06-30T08:25:49Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,More by Author Recommendation,B000JMKNXS,Lockscreen,Lockscreen
2023-05-06T20:10:12Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B0BVK8GCGR,Lockscreen,Lockscreen
2023-07-14T07:34:33Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-06-30T22:47:22Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B0B7NDZNDV,Lockscreen,Lockscreen
2023-04-19T07:39:50Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B07S1X9K9J,Lockscreen,Lockscreen
2023-07-23T07:05:20Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-06-13T02:00:05Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B09XM4GDLV,Lockscreen,Lockscreen
2023-04-13T18:18:07Z,www.amazon.com,US,Kindle E-reader,B000U913EI,More by Author Recommendation,B00LJ48BOI,Lockscreen,Lockscreen
2023-06-15T00:38:30Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,More by Author Recommendation,B003E4CYBM,Lockscreen,Lockscreen
2023-05-03T01:49:09Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B003K16P8C,Lockscreen,Lockscreen
