created_timestamp,preferred_marketplace,country,device_family,ASIN,Start position of annotation,End position of annotation,action,previous_value,new_value
2025-05-14T23:58:28Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:37:09Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:37:21Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:26:42Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-26T23:32:56Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:26:47Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Delete Annotation,Not Available,Not Available
2025-07-26T23:32:53Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-09T04:31:36Z,www.amazon.com,US,Kindle E-reader,B0D9F3KFPM,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-13T21:11:54Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:26:36Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:26:45Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-08-02T22:14:37Z,www.amazon.com,US,Kindle E-reader,SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-08T03:32:04Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-12T23:39:07Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-08T03:31:58Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-11T05:54:32Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-26T23:32:59Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-14T00:23:21Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-12T00:58:55Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-04-26T04:06:24Z,www.amazon.com,US,Kindle E-reader,WS7ZNQVX7GBLFJDICPFXB44TVFXYJ3XO,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T22:05:02Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-26T23:33:06Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-27T22:35:03Z,www.amazon.com,US,Kindle E-reader,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:27:14Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Delete Annotation,Not Available,Not Available
2025-07-13T22:28:52Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:25Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Delete Annotation,Not Available,Not Available
2025-06-12T23:37:16Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:37:06Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T03:04:45Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T01:59:00Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:35Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T23:38:40Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-26T02:56:48Z,www.amazon.com,US,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:25Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Delete Annotation,highlight,Not Available
2025-07-26T23:33:01Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-10T01:08:46Z,www.amazon.com,US,Kindle E-reader,B0D9F3KFPM,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:47Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:10Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-13T21:34:14Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-13T21:12:14Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-18T03:41:41Z,www.amazon.com,US,Kindle E-reader,ZPDUB3GM3WAX336MUVRJXWWZQKSYRZ4H,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-08T03:32:19Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:27:07Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:27:10Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T23:39:12Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-24T18:55:35Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
