created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2023-02-27T22:17:03Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,1190908
2023-03-24T22:26:35Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,179451
2023-04-14T21:27:22Z,www.amazon.com,US,Kindle E-reader,B000U913EI,884197
2023-05-21T22:53:46Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,717960
2023-06-03T17:24:45Z,www.amazon.com,US,Kindle E-reader,Not Available,346591
2023-04-25T03:51:29Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,2655081
2023-04-26T20:56:36Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,1294351
2023-06-22T23:13:06Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,2039549
2023-03-29T03:51:43Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,4568629
2023-02-21T15:59:56Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,1260613
2023-07-16T21:36:10Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,1245666
2023-05-11T03:29:34Z,www.amazon.com,US,Kindle E-reader,B09GW3P1KJ,2347197
2023-07-07T03:23:26Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,2446698
2023-02-01T19:47:36Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,971032
2023-05-14T05:08:52Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,2277817
2023-06-15T02:59:50Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,2176584
2023-04-25T23:35:26Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,744397
2023-07-24T04:32:11Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,2616756
2023-03-25T15:08:11Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,16061
2023-03-29T04:37:59Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,1774699
2023-04-18T21:45:34Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1346486
2023-02-02T22:20:30Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,1529824
2023-02-15T06:26:19Z,www.amazon.com,US,Kindle E-reader,Not Available,2621451
2023-05-13T01:24:21Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,575083
2023-04-13T18:18:06Z,www.amazon.com,US,Kindle E-reader,B000U913EI,615434
2023-04-24T16:01:45Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,9655
2023-03-30T00:06:52Z,www.amazon.com,US,Kindle E-reader,Not Available,964523
2023-05-21T22:22:20Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,7045699
2023-07-28T16:21:54Z,www.amazon.com,US,Kindle E-reader,Not Available,10670
2023-02-18T04:50:03Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,2830768
2023-01-08T05:03:05Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,1286978
2023-03-17T20:33:59Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,1079668
2023-05-22T03:52:36Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,801947
2023-03-09T19:52:03Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1773697
2023-02-22T02:22:17Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,6530781
2023-07-21T20:51:54Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,616240
2023-05-20T04:29:26Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,2013636
2023-02-17T04:35:20Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,1905132
2023-04-05T22:28:49Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,2251808
2023-04-13T22:40:03Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,1850755
2023-03-09T18:07:39Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1192320
2023-07-16T03:39:08Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,1568603
2023-06-30T04:02:11Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,3907138
2023-06-28T22:12:36Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,1059439
2023-05-27T19:54:27Z,www.amazon.com,US,Kindle E-reader,Not Available,619089
2023-06-13T22:38:07Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,1384042
2023-03-22T04:09:47Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1051645
2023-03-17T07:09:16Z,www.amazon.com,US,Kindle E-reader,Not Available,1802471
2023-05-28T21:09:26Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,1422921
2023-04-14T01:22:20Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,1953426
2023-03-14T01:45:35Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,1436609
2023-03-18T04:44:50Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,1985005
2023-03-01T20:31:25Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,2304461
2023-03-01T23:25:40Z,www.amazon.com,US,Kindle E-reader,Not Available,3517225
2023-03-26T03:57:18Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,2597644
2023-03-24T05:01:03Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1482203
2023-03-07T03:57:13Z,www.amazon.com,US,Kindle E-reader,Not Available,1445842
2023-03-15T01:45:02Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,2808699
2023-03-11T23:37:59Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1462789
2023-03-16T03:14:10Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,2422374
2023-02-10T05:08:21Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,1244603
2023-01-18T04:53:04Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,3909514
2023-06-03T04:14:45Z,www.amazon.com,US,Kindle E-reader,B0B6JSJQLH,2962187
2023-03-11T21:58:04Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1502909
2023-03-25T05:56:04Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,416389
2023-06-15T02:13:12Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,1402211
2023-04-28T20:54:14Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,3368222
2023-06-24T13:07:56Z,www.amazon.com,US,Kindle E-reader,Not Available,35895
2023-02-21T05:00:28Z,www.amazon.com,US,Kindle E-reader,Not Available,749475
2023-02-20T02:26:59Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,18310
2023-02-12T06:36:03Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,530492
2023-03-02T04:04:06Z,www.amazon.com,US,Kindle E-reader,Not Available,600351
2023-06-22T20:38:09Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,9837
2023-05-13T05:28:28Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,1672360
2023-03-07T04:24:08Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1270093
2023-06-27T20:40:08Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,1720519
2023-06-12T04:17:42Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,3291657
2023-04-28T03:36:37Z,www.amazon.com,US,Kindle E-reader,Not Available,57967
2023-06-15T00:38:28Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,1115172
2023-06-30T18:50:54Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,2136770
2023-03-14T01:21:00Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,762277
2023-07-03T20:17:31Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,1165647
2023-03-02T22:57:45Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,607708
2023-03-30T05:16:04Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,549172
2023-04-14T00:37:47Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,600357
2023-01-17T05:01:44Z,www.amazon.com,US,Kindle E-reader,B003L77UKC,2028734
2023-05-17T04:14:40Z,www.amazon.com,US,Kindle E-reader,B00AG8GXVQ,1839715
2023-04-16T18:49:43Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1616528
2023-04-15T05:10:44Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1819546
2023-05-09T03:38:46Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,2278017
2023-07-25T03:22:02Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,2642235
2023-03-05T04:47:41Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,1108018
2023-04-17T21:04:27Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1625472
2023-04-04T04:09:44Z,www.amazon.com,US,Kindle E-reader,Not Available,4108108
2023-05-03T01:49:08Z,www.amazon.com,US,Kindle E-reader,B084357H23,1297565
2023-06-19T00:29:04Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,614143
2023-03-17T03:45:11Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,2998221
2023-01-24T22:51:41Z,www.amazon.com,US,Kindle E-reader,Not Available,63148
2023-01-11T04:29:23Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,915004
2023-06-22T03:53:56Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,3382565
2023-07-19T02:19:23Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,717808
2023-07-05T03:25:28Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,2943825
