created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2022-12-29T08:04:36Z,www.amazon.com,US,Kindle E-reader,B09T9D8QY7,wireless,wifi,by user
2023-03-10T23:42:22Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2023-04-27T22:14:58Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,wireless,wifi,by user
2023-02-14T22:11:10Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-01-25T08:04:22Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,wireless,wifi,by user
2023-07-21T22:18:42Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-06-22T02:57:42Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,wireless,wifi,by user
2022-12-24T04:36:58Z,www.amazon.com,US,Kindle E-reader,B08BYBNGMW,wireless,wifi,by user
2022-12-28T05:34:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-20T02:56:27Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-26T21:01:28Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-29T17:20:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-17T03:46:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-14T08:06:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-08T04:22:46Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,wireless,wifi,by user
2023-06-22T22:35:39Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-25T05:35:53Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-27T08:04:35Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,wireless,wifi,by user
2023-04-22T03:58:45Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-04T04:20:52Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-06-22T22:36:50Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-31T04:34:01Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-05-28T22:01:31Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-28T03:38:06Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-09T06:01:43Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-13T22:27:32Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-01T03:42:20Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,wireless,wifi,by user
2023-05-26T05:11:37Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-27T23:59:27Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-15T03:10:28Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-21T22:03:07Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,wireless,wifi,by user
2023-02-13T19:13:16Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,wireless,wifi,by user
2023-02-20T03:08:09Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,wireless,wifi,by user
2023-07-20T03:05:56Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2022-12-28T08:04:19Z,www.amazon.com,US,Kindle E-reader,B09T9D8QY7,wireless,wifi,by user
2023-02-13T21:23:04Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-27T04:47:23Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-16T08:04:29Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,wireless,wifi,by user
2023-07-07T19:17:04Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,wireless,wifi,by user
2023-02-17T04:36:31Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-02T22:58:56Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-29T23:51:01Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-06-05T08:45:50Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-28T22:33:28Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-05-23T23:09:29Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-07-09T08:43:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-08T22:19:45Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-18T03:48:03Z,www.amazon.com,US,Kindle E-reader,B003L77UKC,wireless,wifi,by user
2023-05-14T08:43:36Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-17T08:43:53Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-03T03:51:30Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,wireless,wifi,by user
2023-02-05T08:05:37Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-05T03:26:39Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-05T08:04:28Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,wireless,wifi,by user
2023-06-07T08:43:34Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-17T08:44:04Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-30T02:48:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-06-08T04:03:50Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-16T06:19:45Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-12T08:05:33Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-03T20:50:28Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-28T03:02:50Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,wireless,wifi,by user
2023-02-11T08:07:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-30T08:43:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-04T03:00:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-11T04:09:01Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T05:28:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-27T08:42:24Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,wireless,wifi,by user
2023-06-27T22:44:20Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,wireless,wifi,by user
