created_timestamp,preferred_marketplace,country,device_family,ASIN,setting_name,setting_value,is_setting_changed_by_user
2024-08-07T07:21:56Z,www.amazon.com,US,Kindle E-reader,Not Available,VoiceView Screen Reader,Disabled,No
2025-04-18T04:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Invert Black and White,Enabled,No
2024-08-07T07:21:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Cloud Restriction,Enabled,No
2024-11-13T04:50:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Brightness Slider Value,11,No
2025-04-18T04:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Prower Saver,Enabled,No
2024-07-01T03:28:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Privacy,Enabled,No
2025-04-18T04:19:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Web Browser Restriction,Enabled,No
2024-09-26T21:27:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Web Browser Restriction,Enabled,No
2024-09-26T21:27:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Goodreads Restriction,Enabled,No
2024-09-26T21:27:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Cloud Restriction,Enabled,No
2024-08-07T07:21:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Prower Saver,Enabled,No
2025-04-18T04:19:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Brightness Slider Value,11,No
2025-04-18T04:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Whispersync for Books,Enabled,No
2024-08-07T07:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Privacy,Enabled,No
2024-07-01T03:28:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Web Browser Restriction,Enabled,No
2025-01-06T23:26:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Privacy,Enabled,No
2024-09-26T21:27:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Privacy,Enabled,No
2025-01-06T23:26:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Invert Black and White,Enabled,No
2024-11-13T04:50:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Store Restriction,Enabled,No
2025-01-06T23:26:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Brightness Slider Value,11,No
2025-01-06T23:26:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Web Browser Restriction,Enabled,No
2024-09-26T21:27:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Store Restriction,Enabled,No
2025-01-06T23:26:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Prower Saver,Enabled,No
2024-08-07T07:21:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Brightness Slider Value,11,No
2024-07-01T03:28:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Prower Saver,Enabled,No
