created_timestamp,preferred_marketplace,country,device_family,ASIN,setting_name,setting_value,is_setting_changed_by_user
2024-07-01T03:28:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-11-13T04:50:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2025-04-18T04:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2023-03-17T03:52:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2025-01-06T23:26:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-11-15T05:02:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-11-13T04:50:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-04-26T23:56:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-10-19T04:49:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2023-03-17T03:52:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-09-26T21:27:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-03-15T03:26:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-03-15T03:26:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2025-04-18T04:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-09-26T21:27:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-07-20T03:03:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-08-07T07:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-08-07T07:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-04-26T23:56:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2023-12-30T05:52:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-10-19T04:49:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-07-20T03:03:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-08-12T04:14:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-02-02T06:06:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2025-01-06T23:26:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2023-08-12T04:14:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-07-01T03:28:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2023-11-15T05:02:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
2024-02-02T06:06:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2023-12-30T05:52:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Device Language,English (United States),No
