created_timestamp,preferred_marketplace,country,device_family,ASIN,wakeup_reason,time_in_hibernate_ms
2023-03-29T11:05:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8452000
2023-02-21T22:02:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,10995000
2023-06-21T03:50:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,68774000
2023-06-22T07:43:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9929000
2023-05-08T03:24:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,32956000
2023-07-07T02:42:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,11397000
2022-12-28T05:13:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,27956000
2023-04-17T04:07:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,29674000
2023-06-10T08:05:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,83950000
2022-12-25T04:20:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,19783000
2023-05-21T20:24:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,6563000
2023-05-11T07:43:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,11424000
2023-04-20T03:43:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,16567000
2023-05-04T03:10:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66364000
2023-03-03T08:04:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7222000
2023-07-12T03:01:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,65813000
2023-01-01T04:30:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,73469000
2023-03-30T05:06:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,793000
2023-01-11T04:14:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,64807000
2022-12-22T21:10:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,47067000
2023-06-28T20:31:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42413000
2023-04-05T21:47:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,46760000
2023-03-01T03:42:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70560000
2023-07-07T19:16:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,37971000
2023-07-03T03:23:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67011000
2023-03-26T03:14:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,16267000
2023-04-06T08:42:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,30381000
2023-06-27T20:11:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,41111000
2023-03-18T08:09:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,7736000
2023-02-19T08:04:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86292000
2023-01-18T20:40:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,45227000
2023-03-29T08:01:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8424000
2022-12-09T08:04:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,11264000
2022-12-31T07:16:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12579000
2023-06-25T03:11:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,46661000
2023-03-03T20:24:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,44276000
2022-12-02T07:04:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,82686000
2023-01-04T08:01:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,7804000
2023-05-26T03:27:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,28357000
2023-02-18T08:04:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7839000
2023-05-14T18:20:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,34589000
2023-06-30T20:21:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,1636000
2023-05-27T19:44:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,969000
2023-04-12T13:22:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,16633000
2023-03-11T17:02:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,32119000
2022-12-06T05:50:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,78188000
2023-07-26T08:15:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,11118000
2023-05-03T07:08:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9114000
2023-04-03T04:02:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,14320000
2023-05-23T08:32:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13085000
2023-01-26T20:58:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,46351000
2023-05-15T20:35:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42604000
2023-01-11T21:31:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,48340000
2023-04-10T02:50:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8959000
2023-03-07T08:04:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,9409000
2022-12-24T04:36:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,2395000
2023-05-01T20:39:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42744000
2023-02-21T04:47:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,16448000
2022-12-09T03:33:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70001000
2023-04-05T08:14:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8838000
2023-04-28T19:58:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,5440000
2023-07-12T08:42:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,14355000
2023-07-28T07:37:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,10295000
2023-04-30T00:37:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,57130000
2023-07-02T08:42:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86272000
2023-04-24T03:08:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66217000
2023-05-02T22:53:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,50934000
2023-03-10T22:22:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,51409000
2023-02-28T04:27:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,18254000
2023-04-15T08:17:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,7410000
2023-07-06T21:16:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,22390000
2023-05-04T07:29:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9822000
2023-06-01T07:40:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,82412000
2023-07-15T08:34:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13131000
2023-01-19T07:14:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,28781000
2023-03-17T02:55:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,65456000
2023-03-01T07:34:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8654000
2023-05-07T16:38:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,28414000
2023-07-22T07:03:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8505000
2023-03-09T23:08:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,7980000
2023-06-08T01:09:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,59111000
2022-12-14T04:13:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,72414000
2023-04-04T00:41:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,7593000
2022-12-12T08:04:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86243000
2023-01-24T22:50:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,52957000
2023-05-19T08:17:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,84767000
2023-07-09T08:42:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,11055000
2023-07-21T08:14:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12888000
2023-05-09T03:00:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,15852000
2023-07-13T02:30:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,63931000
2023-02-01T19:31:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,41118000
2023-03-24T04:36:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,20959000
2023-04-13T04:09:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,49387000
2023-07-25T02:38:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,64413000
2022-12-20T03:41:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70522000
2023-01-22T07:28:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,84133000
2023-04-29T07:59:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,28721000
2023-03-08T22:10:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,50636000
2023-07-13T07:21:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,11649000
2022-12-24T19:22:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,1549000
2023-01-18T03:47:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70785000
2023-06-19T00:18:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,56066000
2023-06-23T19:24:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,38383000
2023-02-22T00:33:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,3115000
2023-04-16T03:19:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66942000
2022-12-17T08:04:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86300000
2023-05-14T21:48:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,1867000
