created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2023-04-14T21:14:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-07-23T19:58:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-07-14T02:52:05Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-04-12T04:15:35Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Bluetooth settings,On,In-book,VoiceView turned off,
2023-04-11T03:07:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2023-04-24T03:09:53Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-06-20T03:05:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-06-22T02:58:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-04-12T04:15:32Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-03-26T03:41:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-03-31T20:58:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-04-22T03:55:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-04-12T04:15:37Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-03-17T06:40:14Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-05-01T21:07:43Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-03-30T05:07:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-03-07T03:46:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-04-11T03:07:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-02-20T02:28:52Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-03-29T02:36:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Settings,VoiceView turned off,
2023-03-25T18:29:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-06-22T22:39:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-06-24T13:07:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-02-15T06:06:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-02-20T02:27:24Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-03-07T03:46:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-06-08T01:09:52Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-06-08T01:09:54Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,Data sync,Clicked,In-book,VoiceView turned off,
2023-04-22T03:55:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-07-05T02:15:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
