created_timestamp,preferred_marketplace,country,device_family,ASIN,error_reason,selected_option
2023-12-27T03:39:49Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:16:59Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:13:56Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:39:51Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:15:58Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:12:38Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:14:56Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2024-04-13T22:38:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Failed to connect to Wireless network,Set Up Selected
2023-08-04T04:09:33Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,Bad password,enterPasswordAgain
2023-12-27T03:11:53Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:11:54Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-08-09T02:17:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Profile Delete Confirmation,Cancel Selected
2023-12-27T03:12:17Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2023-12-27T03:19:01Z,www.amazon.com,US,Kindle E-reader,Not Available,No Wi-Fi found,No Selection Made
2024-08-17T18:23:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Profile Delete Confirmation,Cancel Selected
