Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2024-04-01T03:33:16Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,none
2023-06-28T03:49:36Z,www.amazon.com,Eink,B0BHTN6TL6,AutoShelving,end_actions,PerformAutoShelving,,No,B0BHTN6TL6,Yes,Yes,InvokedByBookFinish,No,read
2024-04-08T06:51:01Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,none
2023-12-19T04:48:03Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0B9SN8K6H,Yes,Yes,InvokedByBookFinish,No,read
2024-03-31T17:43:28Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,none
2024-04-04T23:38:25Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,read
2023-03-11T05:12:14Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,none
2023-03-15T02:09:30Z,www.amazon.com,Eink,B09JBCGQB8,ManualShelving,end_actions,PerformManualShelving,,No,B09JBCGQB8,Yes,Yes,InvokedByBookFinish,No,read
2024-04-02T23:04:37Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,none
2025-02-16T04:34:20Z,www.amazon.com,Eink,B003K15IF8,AutoShelving,start_actions,PerformAutoShelving,,No,B003K15IF8,No,Yes,InvokedByBookOpen,No,currently-reading
2024-05-04T17:47:29Z,www.amazon.com,Eink,B0CDKLBD2W,AutoShelving,start_actions,PerformAutoShelving,,No,B0CDKLBD2W,No,Yes,InvokedByBookOpen,No,currently-reading
2023-10-12T06:02:46Z,www.amazon.com,Eink,B0CBW58P3J,ManualShelving,end_actions,PerformManualShelving,,No,B0CBW58P3J,Yes,Yes,InvokedByBookFinish,No,read
2023-04-11T03:04:58Z,www.amazon.com,Eink,B0B3HPSFJ7,ManualShelving,end_actions,PerformManualShelving,,No,B0B3HPSFJ7,Yes,Yes,InvokedByBookFinish,No,read
2023-09-29T03:44:57Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-11-01T00:18:22Z,www.amazon.com,Eink,B0BKH7G2X8,ManualShelving,end_actions,PerformManualShelving,,No,B0BKH7G2X8,Yes,Yes,InvokedByBookFinish,No,read
2023-12-01T21:28:44Z,www.amazon.com,Eink,B0C5LRCM2F,AutoShelving,start_actions,PerformAutoShelving,,No,B0C5LRCM2F,Yes,Yes,InvokedByBookOpen,No,currently-reading
2023-02-22T06:52:13Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08NT2VSWF,Yes,Yes,InvokedByBookFinish,No,read
2023-02-09T04:25:25Z,www.amazon.com,Eink,B00PSSG4MM,AutoShelving,start_actions,PerformAutoShelving,,No,B00PSSG4MM,No,Yes,InvokedByBookOpen,No,currently-reading
2023-09-22T03:15:00Z,www.amazon.com,Eink,B0BQLKNTYR,AutoShelving,start_actions,PerformAutoShelving,,No,B0BQLKNTYR,No,Yes,InvokedByBookOpen,No,currently-reading
2024-04-01T21:22:05Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,read
2024-03-01T02:30:23Z,www.amazon.com,Eink,B0C6KMGND1,AutoShelving,start_actions,PerformAutoShelving,,No,B0C6KMGND1,No,Yes,InvokedByBookOpen,No,currently-reading
2023-03-01T23:15:31Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2023-09-30T02:53:08Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2024-01-29T21:15:56Z,www.amazon.com,Eink,B0BH4QWM85,ManualShelving,end_actions,PerformManualShelving,,No,B0BH4QWM85,Yes,Yes,InvokedByBookFinish,No,read
2023-03-03T04:08:39Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2023-03-07T03:39:44Z,www.amazon.com,Eink,B07TYBQJBM,AutoShelving,start_actions,PerformAutoShelving,,No,B07TYBQJBM,No,Yes,InvokedByBookOpen,No,currently-reading
2024-02-27T23:41:01Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B0C1YCKNK1,No,Yes,InvokedByBookOpen,Yes,currently-reading
