ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,US,2023-02-20T03:01:59Z,www.amazon.com,Kindle for Android,,7,1,VIEW,SCROLL,sk-kfa-er-books-blurb,1285428200
Not Available,US,2023-03-05T04:55:56Z,www.amazon.com,Kindle for Android,,1,1,VIEW,SCROLL,sk-kfa-er-books-blurb,1285441000
Not Available,US,2022-12-16T05:10:15Z,www.amazon.com,Kindle for Android,B097XBXQ1T,7,5,STORE,tap,BOOK_ENTITY_LIST_4,1285389800
Not Available,US,2023-06-08T21:28:10Z,www.amazon.com,Kindle for Android,,1,2,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_1,1285530600
Not Available,US,2022-12-16T05:10:49Z,www.amazon.com,Kindle for Android,B09QMHZ53K,7,5,STORE,tap,BOOK_ENTITY_LIST_4,1285389800
Not Available,US,2023-02-28T19:20:08Z,www.amazon.com,Kindle for Android,,1,1,VIEW,SCROLL,sk-kfa-er-books-blurb,1285441000
Not Available,US,2023-02-15T06:01:48Z,www.amazon.com,Kindle for Android,B0B5SR4KBR,1,1,STORE,tap,BOOK_ENTITY_LIST_0,1285428200
Not Available,US,2023-02-15T06:18:10Z,www.amazon.com,Kindle for Android,B016I2A92C,12,8,STORE,tap,BOOK_ENTITY_LIST_7,1285428200
Not Available,US,2022-12-16T05:11:49Z,www.amazon.com,Kindle for Android,,13,1,WEB,tap,WEBVIEW_1,1285389800
Not Available,US,2023-03-05T04:56:49Z,www.amazon.com,Kindle for Android,,13,1,WEB,tap,WEBVIEW_1,1285441000
Not Available,US,2024-06-17T11:59:20Z,www.amazon.com,Kindle for Android,,1,1,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_0,1285812200
Not Available,US,2023-10-11T00:34:28Z,www.amazon.com,Kindle for Android,,1,2,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_1,1285620200
Not Available,US,2023-10-11T00:33:56Z,www.amazon.com,Kindle for Android,,10,1,STORE,tap,BUTTON_1,1285620200
Not Available,US,2024-06-13T02:03:32Z,www.amazon.com,Kindle for Android,B07PVZS6Z9,9,5,QUICKVIEW,tap,BOOK_ENTITY_LIST_4,1285812200
Not Available,US,2023-11-12T23:35:52Z,www.amazon.com,Kindle for Android,,1,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1285633000
Not Available,US,2023-10-07T01:15:36Z,www.amazon.com,Kindle for Android,,2,1,QUICKVIEW,tap,WEBVIEW_1,1285620200
Not Available,US,2023-08-07T21:27:13Z,www.amazon.com,Kindle for Android,,1,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1285556200
Not Available,US,2023-12-09T16:53:56Z,www.amazon.com,Kindle for Android,,1,1,WEB,tap,WEBVIEW_1,1285649600
Not Available,US,2024-01-08T03:23:42Z,www.amazon.com,Kindle for Android,,1,2,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_1,1285649600
Not Available,US,2024-01-10T05:02:45Z,www.amazon.com,Kindle for Android,,1,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1285649600
Not Available,US,2024-01-10T05:03:13Z,www.amazon.com,Kindle for Android,,8,1,QUICKVIEWSUCCESS,tap,WEBVIEW_1,1285649600
Not Available,US,2024-01-10T05:03:13Z,www.amazon.com,Kindle for Android,,8,1,QUICKVIEW,tap,WEBVIEW_1,1285649600
Not Available,US,2023-10-07T01:15:36Z,www.amazon.com,Kindle for Android,,2,1,QUICKVIEWSUCCESS,tap,WEBVIEW_1,1285620200
Not Available,US,2023-10-05T04:14:17Z,www.amazon.com,Kindle for Android,,1,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1285620200
Not Available,US,2024-06-17T11:59:11Z,www.amazon.com,Kindle for Android,,2,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1285812200
Not Available,US,2024-06-17T11:58:45Z,www.amazon.com,Kindle for Android,,3,1,CATEGORY,click,WEBVIEW_1,1285812200
Not Available,US,2025-02-06T02:00:16Z,www.amazon.com,Kindle for Android,,1,1,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_0,1285953000
Not Available,US,2024-11-04T03:49:24Z,www.amazon.com,Kindle for Android,B0BQGH98Y8,5,3,QUICKVIEW,tap,BOOK_ENTITY_LIST_2,1285927400
Not Available,US,2025-07-06T19:46:39Z,www.amazon.com,Kindle for Android,B01JGMCBO0,10,18,QUICKVIEW,tap,BOOK_ENTITY_LIST_17,1286106600
Not Available,US,2025-04-27T03:09:37Z,www.amazon.com,Kindle for Android,,1,6,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_5,1286042600
Not Available,US,2024-11-04T03:49:09Z,www.amazon.com,Kindle for Android,B0BVGN1R59,1,9,QUICKVIEW,tap,BOOK_ENTITY_LIST_8,1285927400
Not Available,US,2025-04-27T03:21:09Z,www.amazon.com,Kindle for Android,,1,1,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_0,1286042600
Not Available,US,2025-04-27T03:07:55Z,www.amazon.com,Kindle for Android,B0DJRN4YF9,3,15,QUICKVIEW,tap,BOOK_ENTITY_LIST_14,1286042600
Not Available,US,2025-04-27T03:20:47Z,www.amazon.com,Kindle for Android,B0D9PGQN3M,2,11,QUICKVIEW,tap,BOOK_ENTITY_LIST_10,1286042600
Not Available,US,2025-07-06T19:43:59Z,www.amazon.com,Kindle for Android,B07MNH487Y,10,3,QUICKVIEW,tap,BOOK_ENTITY_LIST_2,1286106600
Not Available,US,2024-12-16T19:01:17Z,www.amazon.com,Kindle for Android,B0CLQVQSVL,2,8,QUICKVIEW,tap,BOOK_ENTITY_LIST_7,1285944000
Not Available,US,2025-04-09T01:24:49Z,www.amazon.com,Kindle for Android,B0D1S4P5SD,3,2,QUICKVIEW,tap,BOOK_ENTITY_LIST_1,1286017000
Not Available,US,2024-08-09T03:24:58Z,www.amazon.com,Kindle for Android,B0CHW7YWLR,7,1,QUICKVIEW,tap,BOOK_ENTITY_LIST_0,1285850600
Not Available,US,2025-06-11T03:15:10Z,www.amazon.com,Kindle for Android,B0DPLW7YFX,2,1,QUICKVIEW,tap,BOOK_ENTITY_LIST_0,1286081000
Not Available,US,2025-04-27T03:08:15Z,www.amazon.com,Kindle for Android,B0DJRN4YF9,3,15,QUICKVIEW,tap,BOOK_ENTITY_LIST_14,1286042600
Not Available,US,2025-04-27T03:08:57Z,www.amazon.com,Kindle for Android,,1,4,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_3,1286042600
Not Available,US,2024-11-04T03:50:10Z,www.amazon.com,Kindle for Android,,13,1,swipe,CATEGORY_SCROLL,WEBVIEW_1,1285927400
Not Available,US,2025-04-27T03:18:07Z,www.amazon.com,Kindle for Android,,1,4,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_3,1286042600
Not Available,US,2025-04-27T03:17:26Z,www.amazon.com,Kindle for Android,,1,11,STORE,tap,STRUCTURED_BROWSE_TOP_NAV_10,1286042600
