ASIN,country,created_timestamp,preferred_marketplace,device_family,card_position,kindle_app_version
Not Available,US,2023-02-27T23:51:02Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-01-25T00:55:14Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-01-07T06:14:27Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-01-19T05:31:29Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-01-12T05:50:17Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-02-28T19:21:02Z,www.amazon.com,Kindle for Android,13,1285441000
Not Available,US,2023-03-30T03:47:05Z,www.amazon.com,Kindle for Android,2,1285466600
Not Available,US,2023-07-16T21:10:06Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-04-21T03:42:07Z,www.amazon.com,Kindle for Android,2,1285479400
Not Available,US,2023-07-04T20:46:50Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-06-19T21:29:07Z,www.amazon.com,Kindle for Android,1,1285543400
Not Available,US,2023-04-21T03:43:45Z,www.amazon.com,Kindle for Android,3,1285479400
Not Available,US,2023-02-20T03:00:36Z,www.amazon.com,Kindle for Android,3,1285428200
Not Available,US,2023-01-19T05:43:08Z,www.amazon.com,Kindle for Android,9,1285403200
Not Available,US,2022-12-25T19:30:54Z,www.amazon.com,Kindle for Android,2,1285389800
Not Available,US,2023-03-05T04:56:29Z,www.amazon.com,Kindle for Android,10,1285441000
Not Available,US,2023-04-21T03:42:08Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,3,1285479400
B08BYBNGMW,US,2022-12-25T19:31:23Z,www.amazon.com,Kindle for Android,1,1285389800
Not Available,US,2023-03-13T19:33:02Z,www.amazon.com,Kindle for Android,2,1285453800
Not Available,US,2023-07-04T18:22:20Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-02-15T06:01:42Z,www.amazon.com,Kindle for Android,1,1285428200
Not Available,US,2023-02-20T03:01:50Z,www.amazon.com,Kindle for Android,8,1285428200
Not Available,US,2023-02-20T03:01:42Z,www.amazon.com,Kindle for Android,3,1285428200
Not Available,US,2022-12-25T19:31:17Z,www.amazon.com,Kindle for Android,2,1285389800
Not Available,US,2023-02-20T03:02:24Z,www.amazon.com,Kindle for Android,13,1285428200
Not Available,US,2023-05-15T03:12:50Z,www.amazon.com,Kindle for Android,1,1285505000
Not Available,US,2023-03-05T04:55:47Z,www.amazon.com,Kindle for Android,1,1285441000
B09NTK9WDQ,US,2023-02-05T20:51:04Z,www.amazon.com,Kindle for Android,2,1285415400
Not Available,US,2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,13,1285428200
B0B6Z4SVTH,US,2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,2,1285492200
Not Available,US,2023-07-16T21:08:58Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-06-28T03:54:33Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-01-19T05:31:29Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,3,1285428200
Not Available,US,2023-07-04T18:29:02Z,www.amazon.com,Kindle for Android,7,1285544000
Not Available,US,2023-05-14T17:40:42Z,www.amazon.com,Kindle for Android,1,1285505000
Not Available,US,2023-02-15T06:02:26Z,www.amazon.com,Kindle for Android,10,1285428200
Not Available,US,2023-04-04T23:12:06Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-03-05T04:56:27Z,www.amazon.com,Kindle for Android,8,1285441000
Not Available,US,2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,6,1285544000
Not Available,US,2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,4,1285492200
Not Available,US,2022-12-25T19:31:14Z,www.amazon.com,Kindle for Android,3,1285389800
Not Available,US,2023-04-04T23:12:24Z,www.amazon.com,Kindle for Android,2,1285466600
B09XL59MJX,US,2023-05-14T17:40:31Z,www.amazon.com,Kindle for Android,1,1285505000
Not Available,US,2023-04-21T03:41:49Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,6,1285403200
Not Available,US,2023-02-15T06:01:57Z,www.amazon.com,Kindle for Android,4,1285428200
Not Available,US,2023-03-07T03:52:06Z,www.amazon.com,Kindle for Android,6,1285441000
Not Available,US,2023-02-27T23:51:15Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-01-02T03:38:55Z,www.amazon.com,Kindle for Android,1,1285403200
B0C3QHMLGL,US,2023-04-28T19:56:58Z,www.amazon.com,Kindle for Android,2,1285492200
Not Available,US,2023-02-28T19:20:59Z,www.amazon.com,Kindle for Android,12,1285441000
Not Available,US,2023-05-02T01:04:34Z,www.amazon.com,Kindle for Android,6,1285492200
Not Available,US,2023-06-08T21:27:06Z,www.amazon.com,Kindle for Android,3,1285530600
Not Available,US,2023-01-19T05:42:52Z,www.amazon.com,Kindle for Android,4,1285403200
Not Available,US,2023-02-05T20:51:02Z,www.amazon.com,Kindle for Android,1,1285415400
Not Available,US,2023-04-13T10:37:10Z,www.amazon.com,Kindle for Android,2,1285479400
Not Available,US,2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,2,1285428200
Not Available,US,2023-03-05T04:55:47Z,www.amazon.com,Kindle for Android,2,1285441000
B09XL59MJX,US,2023-05-15T03:08:10Z,www.amazon.com,Kindle for Android,1,1285505000
Not Available,US,2023-03-07T03:52:58Z,www.amazon.com,Kindle for Android,13,1285441000
Not Available,US,2023-06-14T22:23:18Z,www.amazon.com,Kindle for Android,1,1285543400
Not Available,US,2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,12,1285428200
B0B6Z4SVTH,US,2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,3,1285492200
B09QMHZ53K,US,2023-01-19T05:42:39Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-02-15T06:02:26Z,www.amazon.com,Kindle for Android,9,1285428200
Not Available,US,2023-02-15T06:01:57Z,www.amazon.com,Kindle for Android,3,1285428200
B075SPBQDV,US,2023-04-04T23:11:53Z,www.amazon.com,Kindle for Android,2,1285466600
Not Available,US,2023-01-25T00:55:23Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-05-02T01:04:29Z,www.amazon.com,Kindle for Android,4,1285492200
Not Available,US,2023-06-06T01:34:33Z,www.amazon.com,Kindle for Android,1,1285530600
Not Available,US,2023-07-04T18:22:42Z,www.amazon.com,Kindle for Android,5,1285544000
Not Available,US,2023-02-28T19:20:24Z,www.amazon.com,Kindle for Android,6,1285441000
Not Available,US,2023-06-30T22:47:07Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-04-04T23:12:22Z,www.amazon.com,Kindle for Android,2,1285466600
Not Available,US,2023-03-07T03:52:50Z,www.amazon.com,Kindle for Android,12,1285441000
Not Available,US,2023-06-28T03:54:51Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-04-28T03:38:06Z,www.amazon.com,Kindle for Android,1,1285492200
Not Available,US,2023-01-12T05:36:10Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-04-30T21:04:18Z,www.amazon.com,Kindle for Android,2,1285492200
B09XL59MJX,US,2023-05-14T17:40:31Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-01-19T05:43:03Z,www.amazon.com,Kindle for Android,6,1285403200
Not Available,US,2023-01-03T21:32:43Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-07-05T17:30:45Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,3,1285403200
Not Available,US,2022-12-25T19:44:44Z,www.amazon.com,Kindle for Android,2,1285389800
Not Available,US,2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,2,1285479400
Not Available,US,2023-05-02T01:24:42Z,www.amazon.com,Kindle for Android,2,1285492200
Not Available,US,2023-04-30T21:03:32Z,www.amazon.com,Kindle for Android,4,1285492200
Not Available,US,2023-03-05T04:56:32Z,www.amazon.com,Kindle for Android,11,1285441000
Not Available,US,2023-01-12T05:50:17Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-04-05T17:02:52Z,www.amazon.com,Kindle for Android,2,1285466600
B0BWMMN631,US,2023-03-30T03:48:01Z,www.amazon.com,Kindle for Android,1,1285466600
B0BWMMN631,US,2023-03-30T03:48:01Z,www.amazon.com,Kindle for Android,2,1285466600
Not Available,US,2023-06-30T22:46:51Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-02-28T19:19:55Z,www.amazon.com,Kindle for Android,2,1285441000
Not Available,US,2023-02-15T06:18:44Z,www.amazon.com,Kindle for Android,1,1285428200
Not Available,US,2023-02-20T03:02:23Z,www.amazon.com,Kindle for Android,12,1285428200
Not Available,US,2023-07-23T16:48:38Z,www.amazon.com,Kindle for Android,3,1285544000
Not Available,US,2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,3,1285441000
Not Available,US,2023-03-05T04:56:33Z,www.amazon.com,Kindle for Android,12,1285441000
Not Available,US,2023-06-08T21:27:01Z,www.amazon.com,Kindle for Android,2,1285530600
Not Available,US,2023-04-28T03:38:06Z,www.amazon.com,Kindle for Android,2,1285492200
B003L77UKC,US,2023-01-19T05:34:56Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2022-12-25T19:30:54Z,www.amazon.com,Kindle for Android,1,1285389800
Not Available,US,2023-06-19T21:29:05Z,www.amazon.com,Kindle for Android,2,1285543400
Not Available,US,2023-06-28T23:55:35Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-03-07T03:51:12Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-06-08T21:28:06Z,www.amazon.com,Kindle for Android,1,1285530600
Not Available,US,2023-01-19T05:43:08Z,www.amazon.com,Kindle for Android,8,1285403200
B09QMHZ53K,US,2023-01-12T05:35:57Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-02-20T03:00:36Z,www.amazon.com,Kindle for Android,2,1285428200
Not Available,US,2023-07-04T18:29:10Z,www.amazon.com,Kindle for Android,6,1285544000
Not Available,US,2023-02-20T03:01:43Z,www.amazon.com,Kindle for Android,4,1285428200
