created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-03-20T04:35:48Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193180020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-04-13T18:28:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2025-07-31T03:13:49Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2023-08-27T03:10:52Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4097540002,Book Selected,Selected Campaign Header,tap,1
2023-08-09T02:16:47Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Selected Campaign Header,tap,1
2023-12-31T04:33:51Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Book Selected,Selected Campaign Header,tap,1
2023-03-14T04:00:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-02-20T03:13:43Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2024-08-16T23:48:40Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Tap on Card Title,Selected Campaign Header,tap,13
2025-04-18T03:27:36Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Menu Option Selected,Selected Campaign Header,tap,1
2023-01-03T04:52:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Selected Campaign Header,tap,1
2024-10-02T21:37:55Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,Tap on Card Title,Selected Campaign Header,tap,1
