campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2023-01-27T00:18:34.383Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B003L77UKC,1,1
2023-03-13T04:46:20.111Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-04-28T03:36:03.488Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-03-09T17:55:22.723Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-04-21T03:39:57.488Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-05-18T03:52:50.551Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-07-23T03:36:24.244Z,www.amazon.com,US,Kindle E-reader,4064600031,Not Applicable,displayed,B0BH4QWM85,1,1
2022-12-20T03:44:49.414Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-05-20T03:45:47.342Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-04-09T04:00:33.482Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,2,4
2023-03-11T17:09:51.657Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-15T03:48:20.673Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-04-04T01:56:39.166Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,2,4
2022-12-18T22:33:38.574Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-11T02:50:44.121Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-06-08T01:10:19.023Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2022-12-27T00:58:03.008Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B08BYBNGMW,1,1
2023-02-15T05:55:33.997Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-01T20:44:06.750Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2022-12-16T04:52:14.686Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,7,14
2023-01-02T05:51:23.887Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-06-12T03:23:14.727Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-01-13T04:34:59.619Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-28T04:04:35.489Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-03-10T05:12:42.696Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-01-12T05:35:17.500Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-01-30T21:30:51.894Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-01-17T04:43:58.203Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-05T17:10:53.291Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-04-28T03:36:04.416Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-07-26T03:54:03.636Z,www.amazon.com,US,Kindle E-reader,4064600031,Not Applicable,displayed,Not Available,1,1
2023-05-27T22:34:11.619Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-03-10T05:12:38.519Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-07-14T02:53:39.356Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-03-11T22:08:08.162Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B09JBCGQB8,1,1
2023-02-13T04:41:52.051Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-01-12T05:34:17.035Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-06-28T03:50:50.189Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-07-26T03:54:05.770Z,www.amazon.com,US,Kindle E-reader,4064600031,Not Applicable,displayed,Not Available,1,1
2023-06-25T03:29:43.000Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,5,9
2023-05-28T04:04:57.851Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-04-09T04:02:13.647Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,3,0
2023-02-23T19:38:38.685Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2022-12-18T22:33:35.431Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,1,2
2023-04-04T01:56:39.112Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,2,3
2023-04-09T23:06:04.501Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,B004HW7DZ2,1,1
2023-01-31T04:34:09.362Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,4,7
2023-01-31T04:33:56.177Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,4,7
2022-12-16T05:16:48.657Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,8,15
2023-07-22T03:26:37.584Z,www.amazon.com,US,Kindle E-reader,4064600031,Not Applicable,displayed,B0BH4QWM85,1,1
2023-02-13T19:13:23.527Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-20T21:39:34.255Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2022-12-18T22:33:35.370Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-03-01T23:15:30.900Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-15T06:11:03.900Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B09NTK9WDQ,1,1
2023-01-30T21:31:04.333Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,2,4
2023-03-11T17:09:52.955Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-05-29T17:15:25.977Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-06-23T21:26:37.763Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,B000GCFX6S,1,1
2023-01-31T04:34:09.403Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,4,8
2023-06-30T22:46:20.421Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-04-28T03:36:04.475Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2022-12-13T04:28:45.872Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-07-14T02:53:36.344Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,2,4
2023-03-09T17:55:20.093Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-02-20T03:13:30.130Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-16T04:39:46.157Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2022-12-16T04:51:40.975Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B09RX2WQ3M,1,1
2023-03-31T04:30:47.476Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-06-08T01:10:20.880Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-02-15T21:59:21.988Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,8,15
2023-03-11T23:15:22.939Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2022-12-07T04:21:59.143Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-09T04:16:49.261Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-02-05T04:31:22.290Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,B003L77UKC,1,2
2023-03-07T03:47:13.081Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,2,3
2023-05-15T20:36:54.753Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-04-09T04:01:23.604Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,3,5
2023-01-02T05:51:26.280Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-05-16T04:39:45.139Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2022-12-16T04:51:41.020Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,B09RX2WQ3M,1,2
2023-03-11T23:15:22.858Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-07-26T03:54:25.790Z,www.amazon.com,US,Kindle E-reader,4064600031,Not Applicable,displayed,B084G9Z5C3,1,1
2022-12-16T05:16:57.513Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,6,12
2023-05-16T04:39:46.063Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-05-09T03:08:15.662Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-01-28T05:16:19.414Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-06-22T02:57:48.173Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-05-28T04:04:35.430Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-05-11T02:50:42.022Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-04-12T03:46:29.176Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B000U913EI,1,2
2023-01-24T22:51:20.698Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2022-12-26T13:57:51.250Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-03-12T20:40:21.331Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-02-05T17:11:56.676Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,5,9
2023-06-22T22:39:19.391Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-02-20T03:13:32.686Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-07-19T02:08:34.502Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,B07GD51NCJ,1,1
2023-02-05T04:29:06.267Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-01-01T04:42:47.258Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-05-09T03:13:59.215Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B09RTYQW2S,1,2
2023-01-31T04:34:10.070Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,4,2
2023-02-15T21:58:47.246Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,5,10
2023-01-28T05:27:22.169Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-02-13T04:41:50.530Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-06-08T01:10:20.934Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-02-22T06:52:14.348Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-06T23:57:29.607Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-05-27T18:06:37.891Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,B0B3Y4RYX6,1,1
2023-06-24T13:07:34.168Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-02-05T17:11:06.027Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,2,4
2023-01-31T04:34:10.291Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-20T21:49:14.472Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,3,6
2023-02-20T21:49:02.766Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B003L77UKC,1,1
2023-02-24T03:57:22.515Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-06-14T23:02:26.021Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B000GCFX6S,1,2
2023-05-15T03:48:20.633Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-04-12T00:29:51.731Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-06-12T03:23:16.355Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-04-13T18:07:55.065Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-01-28T05:31:18.112Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,B003L77UKC,1,2
2023-03-11T22:14:03.813Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,B007D1TKAU,1,2
2023-03-08T22:10:42.258Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2023-02-08T22:13:06.848Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-05-20T03:45:58.659Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,3,5
2023-04-13T18:28:32.781Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-04-13T18:28:30.463Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B000U913EI,1,2
2023-07-14T02:52:12.500Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-06-03T03:25:28.904Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-05-20T03:46:36.436Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,3,6
2023-04-13T18:07:54.858Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-04-10T23:44:01.869Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,2
2023-02-05T04:29:08.602Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-03-09T17:55:39.900Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,B09N6VX4K7,1,1
2023-01-31T04:34:10.018Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,4,1
2023-04-09T04:00:36.361Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-06-03T17:21:19.592Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B0B6JSJQLH,1,2
2023-07-23T19:58:33.389Z,www.amazon.com,US,Kindle E-reader,4064600031,131-0015325-6370956,displayed,Not Available,1,2
2023-02-20T22:36:55.739Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-02-22T06:52:11.466Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
2023-01-18T04:04:21.698Z,www.amazon.com,US,Kindle E-reader,3889340042,Not Applicable,displayed,Not Available,1,1
2022-12-16T04:52:00.991Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,2,4
2023-05-27T18:02:37.067Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,1,0
2023-02-15T06:12:30.393Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,2,3
2023-05-20T03:55:58.171Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-02-15T21:57:06.484Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,2,3
2022-12-16T05:17:02.648Z,www.amazon.com,US,Kindle E-reader,3889340042,139-4876057-5430334,displayed,Not Available,2,3
2023-05-08T21:32:51.480Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-05-09T03:08:15.594Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-01-17T04:44:01.013Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,0
2023-05-20T03:45:53.344Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,2,3
2023-06-22T02:57:50.188Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,Not Available,1,1
2023-03-31T04:24:00.744Z,www.amazon.com,US,Kindle E-reader,3924980005,Not Applicable,displayed,B003L77UKC,1,1
2023-06-23T03:51:09.492Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B0BHTN6TL6,1,2
2023-05-20T03:45:58.711Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,Not Available,3,6
2023-04-11T03:07:27.369Z,www.amazon.com,US,Kindle E-reader,3924980005,131-0015325-6370956,displayed,B0B3HPSFJ7,1,2
2023-02-23T19:38:34.811Z,www.amazon.com,US,Kindle E-reader,3889340042,131-0015325-6370956,displayed,Not Available,1,2
