created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-05-27T03:29:54Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-30T01:28:18Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-07-29T20:28:27Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-27T22:27:19Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-21T18:52:57Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Chapter,Tap
2025-06-15T21:23:53Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-30T01:28:09Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-27T19:12:15Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Top Toolbar,OpenTableOfContents,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-27T22:26:53Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:23:55Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
