Creation Date,Amazon Marketplace,Display Status,Device Serial Number,Device Platform,Event Description
2025-07-27T18:32:44Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray closed"""
2025-07-27T18:32:41Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications cleared"""
2025-07-27T18:32:40Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications clear performed"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-27T18:32:36Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-26T19:07:14Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-26T00:23:38Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification tapped"""
2025-07-26T00:23:06Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-25T00:04:45Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-23T16:54:26Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-19T18:40:41Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-18T17:57:06Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-18T17:33:10Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-16T22:48:11Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-07-14T01:25:26Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
