created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2023-03-31T16:16:03Z,9,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,2,No Results Selected,00026e55-3a1b-4f9a-b71e-9bc48a527267
2023-03-31T16:15:51Z,9,www.amazon.com,Home,US,Reformulated,Kindle for Android,yes,,No,No Results Selected,No Results Selected,3e1dec72-1604-4911-8d6e-fbf1ef3135be
2023-11-11T13:11:31Z,17,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,4,No Results Selected,e0290871-e6e0-459d-9ae7-e47ba99411bf
2023-04-28T03:38:17Z,6,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,6c91c26e-62a9-4683-9263-9b1e03680edd
2025-01-05T18:21:52Z,5,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,363ea319-acdf-4e85-aea0-1be1ec9a271c
2025-02-19T20:53:46Z,0,www.amazon.com,Home,US,SearchAgain,Kindle for Android,No,,No,No Results Selected,No Results Selected,69d35f12-3141-47c7-838c-46ad316c8f4d
2024-01-08T04:01:58Z,12,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,68f49699-f5b8-41bc-abf6-530764e033a0
2023-05-20T03:52:35Z,17,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,68c971e5-7a76-4683-a3b6-f3a21aee600f
2023-05-27T18:03:54Z,16,www.amazon.com,instant_search,US,StoreAppViewMore,Kindle E-reader,null,,null,No Results Selected,No Results Selected,4ea50a50-2ebf-4c85-b98d-74a5a6246a6d
2023-08-28T17:49:33Z,10,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,0b462b65-6eff-4c35-8ec7-abae0189a47e
2025-01-05T18:21:58Z,21,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,363ea319-acdf-4e85-aea0-1be1ec9a271c
2025-02-19T20:52:24Z,23,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,69d35f12-3141-47c7-838c-46ad316c8f4d
2024-01-08T04:02:55Z,18,www.amazon.com,Home,US,Reformulated,Kindle for Android,yes,,No,No Results Selected,No Results Selected,68f49699-f5b8-41bc-abf6-530764e033a0
2025-02-19T20:52:22Z,6,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,69d35f12-3141-47c7-838c-46ad316c8f4d
2023-10-11T00:40:54Z,4,www.amazon.com,instant_search,US,StoreAppViewMore,Kindle E-reader,null,,null,No Results Selected,No Results Selected,e0cc2518-85e5-42ab-a79b-3667aeee43c4
2023-12-23T18:19:54Z,14,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,3cfb918c-7f79-4273-8912-2c88196eed2d
2024-08-09T03:17:30Z,9,www.amazon.com,instant_search,US,StoreAppViewMore,Kindle E-reader,null,,null,No Results Selected,No Results Selected,dfd60d0b-6086-4335-bf75-789dbea419aa
2024-09-02T05:05:49Z,0,www.amazon.com,Home,US,ExitSearch,Kindle for Android,No,,No,No Results Selected,No Results Selected,082f736a-cc63-4a8b-8151-e65764237422
2025-02-19T20:53:27Z,23,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,69d35f12-3141-47c7-838c-46ad316c8f4d
2023-11-22T03:27:33Z,22,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,7b9d7c84-5b73-4fd0-8eb1-250210e0afc6
2025-02-19T21:31:24Z,13,www.amazon.com,Home,US,ExitSearch,Kindle for Android,yes,,No,No Results Selected,No Results Selected,36965bce-0136-4cbd-ae13-7772f8c0cd62
2023-10-11T00:41:42Z,4,www.amazon.com,instant_search,US,StoreAppViewMore,Kindle E-reader,null,,null,No Results Selected,No Results Selected,50339d5b-a77b-4fe4-84e9-687437e8bf8d
2023-05-27T18:03:02Z,6,www.amazon.com,instant_search,US,StoreAppViewMore,Kindle E-reader,null,,null,No Results Selected,No Results Selected,1d8bbf87-9d11-4314-9b70-e46090b49fe0
2025-05-03T20:36:47Z,17,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,3dd0a9d3-c5f5-47ec-9b7b-08462a74517e
2024-06-08T15:17:50Z,5,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,ca2a7097-9466-4929-909e-82d6952d178b
2023-08-28T17:49:35Z,30,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,0b462b65-6eff-4c35-8ec7-abae0189a47e
2024-12-26T06:06:26Z,4,www.amazon.com,Home,US,ClearResults,Kindle for Android,yes,,No,No Results Selected,No Results Selected,1f374d8c-7118-4b92-b040-cebbbcf46e82
2023-11-22T03:27:30Z,11,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,7b9d7c84-5b73-4fd0-8eb1-250210e0afc6
2024-01-08T04:03:02Z,23,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,d46ce30d-c64e-4490-ba22-653affebb3c5
2025-02-19T05:28:15Z,11,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,dd882eea-d0c8-47a7-8df3-3ed46db8b052
2024-12-26T05:46:44Z,3,www.amazon.com,Home,US,SearchSuggestionClicked,Kindle for Android,No,,No,No Results Selected,No Results Selected,1f374d8c-7118-4b92-b040-cebbbcf46e82
2024-06-08T15:17:52Z,15,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,ca2a7097-9466-4929-909e-82d6952d178b
2025-02-19T20:53:43Z,23,www.amazon.com,Home,US,ClearResults,Kindle for Android,yes,,No,No Results Selected,No Results Selected,69d35f12-3141-47c7-838c-46ad316c8f4d
2023-03-31T16:15:50Z,9,www.amazon.com,Home,US,Reformulated,Kindle for Android,yes,,No,No Results Selected,No Results Selected,1dfb4fa3-47b0-4fc9-8ebf-4854a459e69d
2024-12-30T20:05:47Z,13,www.amazon.com,Home,US,StorePageOpen,Kindle for Android,yes,,No,1,No Results Selected,cdaa13a2-adc8-4757-9426-cf5f61d07d72
2023-03-31T16:15:48Z,9,www.amazon.com,Home,US,Reformulated,Kindle for Android,yes,,No,No Results Selected,No Results Selected,00026e55-3a1b-4f9a-b71e-9bc48a527267
