Created Timestamp,Preferred Marketplace,Country of Residence,Device Family,ASIN,platform,Total Items,Number of Books,Number of Audiobooks,Number of Audiobook Samples,Number of Comics,Number of Documents,Number of Episodes,Number of Magazines,Number of Newspapers,Number of Samples,Number of Stories,Number of Items read,Number of Items unread,Number of items downloaded,Number of Books downloaded,Number of Books read,Number of Books unread,Number of Audiobooks downloaded,Number of Audiobooks read,Number of Audiobooks unread in the Library,Number of Audiobooks Samples downloaded,Number of Audiobooks Samples read,Number of Audiobooks Samples unread,Number of Comics downloaded,Number of Comics read,Number of Comics unread,Number of Documents downloaded,Number of Documents read,Number of Documents unread,Number of Episodes downloaded,Number of Episodes read,Number of Episodes unread,Number of Magazines downloaded,Number of Magazines read,Number of Magazines unread,Number of Newspapers downloaded,Number of Newspapers read,Number of Newspapers unread,Number of Samples downloaded,Number of Samples read,Number of Samples unread,Number of Stories downloaded,Number of Stories read,Number of Stories unread
2025-07-18T20:19:20Z,www.amazon.com,US,Kindle E-reader,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,eink,26,4,6,0,0,8,0,8,0,0,0,17,9,8,0,0,2,0,6,0,0,0,0,0,0,0,7,1,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2025-07-06T21:05:40Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,eink,23,3,6,0,0,6,0,8,0,0,0,17,6,5,0,0,1,0,6,0,0,0,0,0,0,0,5,1,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2025-07-15T04:06:20Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,eink,24,4,6,0,0,6,0,8,0,0,0,17,7,6,0,0,2,0,6,0,0,0,0,0,0,0,5,1,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2025-06-25T04:07:04Z,www.amazon.com,US,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,eink,25,3,6,0,0,6,0,10,0,0,0,19,6,5,0,0,1,0,6,0,0,0,0,0,0,0,5,1,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2025-06-20T00:40:06Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,eink,24,5,6,0,0,3,0,10,0,0,0,19,5,4,0,0,3,0,6,0,0,0,0,0,0,0,2,1,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2025-06-14T17:38:26Z,www.amazon.com,US,Kindle E-reader,Not Available,eink,26,5,6,0,0,5,0,10,0,0,0,19,7,6,0,0,3,0,6,0,0,0,0,0,0,0,4,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2025-07-16T21:08:21Z,www.amazon.com,US,Kindle E-reader,MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,eink,26,4,6,0,0,8,0,8,0,0,0,17,9,8,0,0,2,0,6,0,0,0,0,0,0,0,7,1,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2025-07-26T03:00:49Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,eink,23,3,6,0,0,6,0,8,0,0,0,17,6,5,0,0,1,0,6,0,0,0,0,0,0,0,5,1,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2025-06-20T01:44:42Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,eink,24,5,6,0,0,3,0,10,0,0,0,19,5,4,0,0,3,0,6,0,0,0,0,0,0,0,2,1,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2025-06-18T00:59:10Z,www.amazon.com,US,Kindle E-reader,ZPDUB3GM3WAX336MUVRJXWWZQKSYRZ4H,eink,25,5,6,0,0,4,0,10,0,0,0,19,6,5,0,0,3,0,6,0,0,0,0,0,0,0,3,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
