Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Operation,Asset Key,Asset Type
2025-06-24T00:02:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-24T03:44:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,CLAXYW2N4FTQ76CN6JTRJPY5TJ6LGVCD,Personal Document
2025-06-16T02:54:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Personal Document
2025-04-21T02:49:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-24T04:40:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:17:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0DY9TZD8Z,E-Book
2025-07-20T02:50:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Personal Document
2025-07-21T04:37:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-09T04:31:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-14T01:21:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-27T03:28:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,WS7ZNQVX7GBLFJDICPFXB44TVFXYJ3XO,Personal Document
2025-05-06T03:30:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B09SKWT6SF,E-Book sample
2025-04-21T22:24:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0D3CBLLPH,E-Book sample
2025-05-11T03:42:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-15T00:15:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Personal Document
2025-04-21T02:50:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Personal Document
2025-06-24T04:41:14Z,www.amazon.com,US,Kindle E-reader,77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Delete,Not Available,
2025-06-12T23:37:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Personal Document
2025-06-16T02:54:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-02T04:06:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:17:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-21T02:34:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-11T05:43:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-11T05:46:40Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Delete,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Personal Document
2025-07-06T20:09:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-24T04:41:14Z,www.amazon.com,US,Kindle E-reader,77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Delete,B0D9F3KFPM,E-Book
2025-07-26T04:12:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Personal Document
2025-04-21T02:34:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-17T21:17:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
