country,created_timestamp,device_family,preferred_marketplace,ASIN,page_where_dialog_was_shown,customer_action,number_of_pages_swiped_while_dialog_is_displayed
US,2023-03-31T04:20:29Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:45:23Z,Kindle E-reader,www.amazon.com,B09RTYQW2S,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-12T02:40:41Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-02-06T23:57:04Z,Kindle E-reader,www.amazon.com,B09NTK9WDQ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-04-14T21:13:28Z,Kindle E-reader,www.amazon.com,B000U913EI,Last Page Read,Forward Page Swipe in Progressbar,1
US,2023-01-27T00:16:17Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:43:08Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,14
US,2023-04-14T21:13:30Z,Kindle E-reader,www.amazon.com,B000U913EI,Last Page Read,Backward Page Swipe in Progressbar,1
US,2023-01-08T04:41:55Z,Kindle E-reader,www.amazon.com,B09QMHZ53K,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2023-06-12T03:23:41Z,Kindle E-reader,www.amazon.com,B000GCFX6S,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,981
US,2023-05-01T20:40:26Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,4
US,2023-04-05T03:24:46Z,Kindle E-reader,www.amazon.com,B07HB5DKQX,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:41:09Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,7
US,2023-05-01T20:43:32Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,16
US,2023-05-01T20:41:25Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,8
US,2023-05-01T20:43:13Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,15
US,2023-05-01T20:42:31Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,11
US,2023-06-12T03:23:09Z,Kindle E-reader,www.amazon.com,B09XBGYWSR,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-01-24T22:51:00Z,Kindle E-reader,www.amazon.com,B09QMHZ53K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-06-12T03:23:39Z,Kindle E-reader,www.amazon.com,B000GCFX6S,Most Recent Page Read,Forward Page Swipe in Progressbar,1
