country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2023-04-14T21:12:55Z,www.amazon.com,Kindle E-reader,B000U913EI,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-04-23T04:47:36Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-07T03:36:19Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-03-09T17:55:50Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-04-20T03:43:51Z,www.amazon.com,Kindle E-reader,B000U913EI,Already at Most Recent Page Read,Not Available
US,2023-02-05T04:29:21Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-31T04:20:16Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-21T20:25:13Z,www.amazon.com,Kindle E-reader,B08PG6CKZJ,Already at Most Recent Page Read,Not Available
US,2023-03-09T04:49:43Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-06-08T01:10:06Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-12T00:30:12Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-06-12T03:23:00Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,Tap on Most Recent Page Read Title,Last Page Read
US,2023-03-31T04:20:16Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-30T05:08:22Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-05-23T22:08:13Z,www.amazon.com,Kindle E-reader,B08PG6CKZJ,Current Last Page Read Not Present,Not Available
US,2023-03-25T05:49:22Z,www.amazon.com,Kindle E-reader,B0B3Y8DJFJ,Already at Most Recent Page Read,Not Available
US,2023-03-01T19:53:27Z,www.amazon.com,Kindle E-reader,B08QXTPXPH,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-03-01T19:53:29Z,www.amazon.com,Kindle E-reader,B08QXTPXPH,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Last Page Read
US,2023-05-12T02:40:31Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-06-26T21:29:28Z,www.amazon.com,Kindle E-reader,B0BHTN6TL6,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-06-08T01:10:03Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-08T22:11:20Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-01-27T00:16:13Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-02-05T04:29:24Z,www.amazon.com,Kindle E-reader,B003L77UKC,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-04T00:41:38Z,www.amazon.com,Kindle E-reader,B075SPBQDV,Current Last Page Read Not Present,Not Available
US,2023-06-22T02:58:32Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2023-06-12T03:23:31Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-15T02:32:39Z,www.amazon.com,Kindle E-reader,B09XL59MJX,Current Last Page Read Not Present,Not Available
US,2023-06-12T03:23:35Z,www.amazon.com,Kindle E-reader,B000GCFX6S,Tap on Most Recent Page Read Title,Last Page Read
US,2023-06-14T23:02:13Z,www.amazon.com,Kindle E-reader,B000GCFX6S,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-13T04:27:48Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-02-05T04:29:21Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-04-22T03:56:41Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-02-06T23:56:51Z,www.amazon.com,Kindle E-reader,B09NTK9WDQ,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-03-14T04:01:34Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-04-14T21:12:55Z,www.amazon.com,Kindle E-reader,B000U913EI,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-01-24T22:50:57Z,www.amazon.com,Kindle E-reader,B09QMHZ53K,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-23T04:47:37Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-04-25T23:23:16Z,www.amazon.com,Kindle E-reader,B0B6Z3LN2D,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-05-08T20:09:01Z,www.amazon.com,Kindle E-reader,B084357H23,Current Last Page Read Not Present,Not Available
US,2023-06-12T03:22:56Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-01T19:53:31Z,www.amazon.com,Kindle E-reader,B08QXTPXPH,Tap on Most Recent Page Read Title,Last Page Read
US,2023-07-23T20:01:03Z,www.amazon.com,Kindle E-reader,B0BH4QWM85,Tap on Most Recent Page Read Title,Last Page Read
US,2023-01-25T05:16:45Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2023-06-14T23:02:15Z,www.amazon.com,Kindle E-reader,B000GCFX6S,Tap on Most Recent Page Read Title,Last Page Read
US,2023-02-06T23:56:51Z,www.amazon.com,Kindle E-reader,B09NTK9WDQ,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-23T21:23:02Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-06-14T23:02:57Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2023-07-23T20:01:01Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-04-28T19:58:26Z,www.amazon.com,Kindle E-reader,B0B6Z4SVTH,Already at Most Recent Page Read,Not Available
US,2023-06-14T23:02:13Z,www.amazon.com,Kindle E-reader,B000GCFX6S,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-04-25T23:23:34Z,www.amazon.com,Kindle E-reader,B0B6Z3LN2D,Tap on Most Recent Page Read Title,Last Page Read
US,2023-02-20T21:40:30Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-04-05T03:24:35Z,www.amazon.com,Kindle E-reader,B07HB5DKQX,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-06-08T01:10:03Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-03-26T03:42:07Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-01-24T22:50:39Z,www.amazon.com,Kindle E-reader,B09QMHZ53K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-04-05T03:24:39Z,www.amazon.com,Kindle E-reader,B07HB5DKQX,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-25T23:23:16Z,www.amazon.com,Kindle E-reader,B0B6Z3LN2D,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-01-24T22:50:40Z,www.amazon.com,Kindle E-reader,B09QMHZ53K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-06-12T03:22:56Z,www.amazon.com,Kindle E-reader,B09XBGYWSR,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-01T20:45:09Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-31T04:20:23Z,www.amazon.com,Kindle E-reader,B003L77UKC,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-28T19:58:23Z,www.amazon.com,Kindle E-reader,B0B6Z4SVTH,Already at Most Recent Page Read,Not Available
US,2023-06-13T02:04:55Z,www.amazon.com,Kindle E-reader,B000GCFX6S,Already at Most Recent Page Read,Not Available
US,2023-05-12T02:40:31Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-07-23T20:01:01Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-06-23T03:52:22Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-06-12T03:23:30Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-04-05T03:24:35Z,www.amazon.com,Kindle E-reader,B07HB5DKQX,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-01-28T05:28:17Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-03-01T19:53:00Z,www.amazon.com,Kindle E-reader,B08QXTPXPH,Already at Most Recent Page Read,Not Available
US,2023-01-27T00:16:15Z,www.amazon.com,Kindle E-reader,B003L77UKC,Tap on Most Recent Page Read Title,Last Page Read
US,2023-05-12T02:40:36Z,www.amazon.com,Kindle E-reader,B003L77UKC,Tap on Most Recent Page Read Title,Last Page Read
US,2023-04-10T23:55:54Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-03-01T19:53:27Z,www.amazon.com,Kindle E-reader,B08QXTPXPH,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-03-30T05:08:22Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-05T02:36:11Z,www.amazon.com,Kindle E-reader,B084357H23,Current Last Page Read Not Present,Not Available
US,2023-06-26T21:29:28Z,www.amazon.com,Kindle E-reader,B0BHTN6TL6,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-02-06T23:57:01Z,www.amazon.com,Kindle E-reader,B09NTK9WDQ,Tap on Most Recent Page Read Title,Last Page Read
US,2023-05-01T20:45:09Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-05-02T22:53:11Z,www.amazon.com,Kindle E-reader,B084357H23,Current Last Page Read Not Present,Not Available
US,2023-06-26T21:35:09Z,www.amazon.com,Kindle E-reader,B0BHTN6TL6,Tap on Most Recent Page Read Title,Last Page Read
US,2023-01-27T00:16:13Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-12-22T18:21:15Z,www.amazon.com,Kindle E-reader,B09Y467GZY,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-21T03:45:02Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2024-03-14T03:50:38Z,www.amazon.com,Kindle E-reader,B0BPNP7YQB,Already at Most Recent Page Read,Not Available
US,2024-03-15T02:58:39Z,www.amazon.com,Kindle E-reader,B0BPNP7YQB,Already at Most Recent Page Read,Not Available
US,2024-02-07T21:05:09Z,www.amazon.com,Kindle E-reader,B09LHBX5KV,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-02T20:58:27Z,www.amazon.com,Kindle E-reader,B008J2G5Y6,Tap on Most Recent Page Read Title,Last Page Read
US,2024-06-02T04:00:31Z,www.amazon.com,Kindle E-reader,B09X34KMRM,Already at Most Recent Page Read,Not Available
US,2024-03-13T03:41:08Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
