created_timestamp,preferred_marketplace,country,device_family,ASIN,Action Type,Navigation Mode,Reading In Full Page Mode,Consecutive Actions Performed
2025-05-14T21:27:13Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Show Navigation Bar,Paginated Reading,No,1
2025-06-15T21:18:57Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,PageTurn,Paginated Reading,Yes,3
2025-05-29T02:50:21Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,PageTurn,Paginated Reading,Yes,4
2025-06-15T21:25:28Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-27T19:12:20Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-29T03:40:37Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,PageTurn,Paginated Reading,Yes,1
2025-05-21T19:49:19Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,1
2025-07-29T15:55:09Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Show Navigation Bar,Paginated Reading,No,1
2025-05-29T02:50:28Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,3
2025-07-29T20:28:25Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Show Navigation Bar,Paginated Reading,No,1
2025-05-14T21:18:15Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Show Navigation Bar,Paginated Reading,No,1
2025-05-21T18:55:11Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,PageTurn,Paginated Reading,Yes,7
2025-05-29T03:40:25Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,PageTurn,Paginated Reading,Yes,13
2025-05-27T22:26:53Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Show Navigation Bar,Paginated Reading,No,1
2025-06-26T01:25:33Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Show Navigation Bar,Paginated Reading,No,1
2025-05-29T03:40:25Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-07-29T20:33:10Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-29T03:51:44Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,3
2025-06-26T01:25:33Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,PageTurn,Paginated Reading,Yes,2
2025-06-26T01:26:20Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-29T03:40:26Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-27T19:12:23Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,1
2025-05-27T03:32:26Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,1
2025-05-27T22:27:56Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-15T21:23:55Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Show Navigation Bar,Paginated Reading,No,1
2025-07-29T20:42:52Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Show Navigation Bar,Paginated Reading,No,1
2025-05-27T11:03:44Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,1
2025-06-15T21:16:03Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Flip Page,Paginated Reading,No,1
2025-05-29T03:47:07Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,PageTurn,Paginated Reading,Yes,8
2025-05-27T03:29:54Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Show Navigation Bar,Paginated Reading,No,1
2025-06-13T19:17:28Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,7
2025-05-27T03:27:35Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-01T17:12:16Z,www.amazon.com,US,Kindle for Android,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,PageTurn,Paginated Reading,Yes,18
2025-05-29T03:40:56Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-01T17:12:16Z,www.amazon.com,US,Kindle for Android,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,Show Navigation Bar,Paginated Reading,No,1
2025-07-29T15:55:04Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Show Navigation Bar,Paginated Reading,No,1
2025-05-29T03:47:07Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-26T01:26:08Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Show Navigation Bar,Paginated Reading,No,1
2025-07-29T20:28:30Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,2
2025-06-26T01:26:08Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,PageTurn,Paginated Reading,Yes,1
2025-07-29T20:28:27Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-27T22:27:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,PageTurn,Paginated Reading,Yes,6
2025-06-15T21:16:10Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-27T19:12:10Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Show Navigation Bar,Paginated Reading,No,1
2025-05-27T11:05:27Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,2
2025-05-21T18:56:34Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,2
2025-06-26T01:29:28Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,2
