created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-12-26T05:47:05Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,About this book BSE,Open the book,2024-12-26T05:47:01Z,2024-12-26T05:47:05Z,Unknown
2025-05-03T20:39:51Z,www.amazon.com,US,Kindle E-reader,B0DLLGPNMQ,About This Book,Open the book,2025-05-03T20:38:42Z,2025-05-03T20:38:54Z,YJ
2025-04-21T22:11:44Z,www.amazon.com,US,Kindle E-reader,Not Available,About This Book,Open the book,2025-04-21T22:11:34Z,2025-04-21T22:11:44Z,YJ
2023-03-25T18:14:33Z,www.amazon.com,US,Kindle for Android,B07MXCRB2F,About this book BSE,Open the book,2023-03-25T18:14:29Z,2023-03-25T18:14:33Z,Unknown
2024-08-08T03:14:13Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,About this book BSE,OverflowMenu,2024-08-08T03:12:56Z,2024-08-08T03:14:13Z,Unknown
2023-12-27T00:54:42Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,About this book BSE,Open the book,2023-12-27T00:54:36Z,2023-12-27T00:54:42Z,Unknown
2023-04-28T03:38:40Z,www.amazon.com,US,Kindle for Android,B0B6Z4SVTH,About this book BSE,Open the book,2023-04-28T03:38:29Z,2023-04-28T03:38:40Z,Unknown
2024-09-22T21:39:36Z,www.amazon.com,US,Kindle for Android,B0CQJHF3HQ,About this book BSE,Open the book,2024-09-22T21:39:05Z,2024-09-22T21:39:36Z,Unknown
2025-04-06T16:48:08Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Before you go BSE,Reach end of book,2025-04-06T16:48:03Z,2025-04-06T16:48:08Z,Unknown
2025-02-19T21:32:23Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,About this book BSE,Open the book,2025-02-19T21:32:19Z,2025-02-19T21:32:23Z,Unknown
2024-08-04T17:19:19Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,About this book BSE,Open the book,2024-08-04T17:19:14Z,2024-08-04T17:19:19Z,Unknown
2023-03-31T16:16:36Z,www.amazon.com,US,Kindle for Android,B075SPBQDV,About this book BSE,Open the book,2023-03-31T16:16:33Z,2023-03-31T16:16:36Z,Unknown
2025-04-06T16:47:47Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Before you go BSE,Reach end of book,2025-04-06T16:47:13Z,2025-04-06T16:47:47Z,Unknown
2023-02-20T03:04:50Z,www.amazon.com,US,Kindle for Android,B07VDJBKNJ,About this book BSE,Open the book,2023-02-20T03:04:42Z,2023-02-20T03:04:50Z,Unknown
2025-06-09T04:31:28Z,www.amazon.com,US,Kindle E-reader,B0D9F3KFPM,About This Book,Open the book,2025-06-09T04:31:15Z,2025-06-09T04:31:28Z,YJ
2023-05-02T01:24:49Z,www.amazon.com,US,Kindle for Android,B084357H23,About this book BSE,Open the book,2023-05-02T01:24:45Z,2023-05-02T01:24:49Z,Unknown
2023-06-08T21:37:50Z,www.amazon.com,US,Kindle for Android,B000GCFX6S,About this book BSE,Open the book,2023-06-08T21:37:46Z,2023-06-08T21:37:50Z,Unknown
2025-02-18T06:29:41Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Before you go BSE,Reach end of book,2025-02-18T06:29:27Z,2025-02-18T06:29:41Z,Unknown
2024-03-28T03:51:30Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,About this book BSE,Open the book,2024-03-28T03:51:26Z,2024-03-28T03:51:30Z,Unknown
2023-02-20T19:32:32Z,www.amazon.com,US,Kindle for Android,B07VDJBKNJ,Before you go BSE,Reach end of book,2023-02-20T19:31:57Z,2023-02-20T19:32:32Z,Unknown
2023-12-12T19:42:48Z,www.amazon.com,US,Kindle for Android,B0B6B4WPSF,Before you go BSE,Reach end of book,2023-12-12T19:42:44Z,2023-12-12T19:42:48Z,Unknown
2025-05-11T03:31:02Z,www.amazon.com,US,Kindle E-reader,B0CWFMT5SC,About This Book,Open the book,2025-05-11T03:30:50Z,2025-05-11T03:31:02Z,YJ
2025-06-23T00:48:13Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,Before You Go,Click on before you go,2025-06-23T00:47:53Z,2025-06-23T00:48:13Z,YJ
2025-07-11T05:44:49Z,www.amazon.com,US,Kindle E-reader,Not Available,About This Book,Open the book,2025-07-11T05:44:39Z,2025-07-11T05:44:49Z,YJ
