created_timestamp,preferred_marketplace,country,device_family,ASIN,Reading Customization Setting Changed,Previous Setting Value,Setting New Value
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Page Margin Mode,Medium,Medium
2025-07-29T20:26:57Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,SwipeAndScrollingSwitch,Off,Off
2025-05-27T03:27:47Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,ContinuousScrollingSwitch,Off,On
2025-05-27T22:27:19Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Reading Progress Currently Displayed Option,Current Location,Time Left In Book
2025-05-27T03:28:46Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Background Color Mode,White,Black
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,TurnPagesWithVolumeControlsSwitch,Off,Off
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Auto Play Media Animations,Off,Off
2025-06-26T01:24:44Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Location
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Page Turn Animation,Off,Off
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Show Media Animations,On,On
2025-05-21T18:52:58Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2025-05-21T18:52:59Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Location
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Multiple Columns Display,Single Column Layout,Single Column Layout
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Text Alignment Mode,Alignment Automatic,Alignment Automatic
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Vertical Scrolling Comics,On,Off
2025-07-29T20:26:55Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Location
2025-05-27T03:30:16Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Font Size Value Point,5,6
2025-06-26T01:24:42Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Reading Progress Currently Displayed Option,Current Location,Time Left In Book
2025-07-29T20:26:52Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Current Location,Time Left In Book
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Background Color Mode,Black,White
2025-06-26T01:24:43Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2025-05-27T03:28:51Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,ContinuousScrollingSwitch,On,Off
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Animate Transitions Comics,On,On
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,SystemThemeForPageColorSwitch,On,Off
2025-07-29T20:26:51Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Location
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Line Spacing Mode,Small,Small
2025-07-29T20:26:54Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2025-05-30T01:28:18Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Visible Clock In Book,Off,Off
2025-05-30T01:28:19Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Location
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,Reading Progress Currently Displayed Option,Time Left In Book,Time Left In Chapter
2025-07-29T20:26:56Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Reading Progress Currently Displayed Option,Current Location,Time Left In Book
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,ContinuousScrollingSwitch,Off,Off
2025-05-14T21:18:07Z,www.amazon.com,US,Kindle for Android,Not Available,In Book Orientation Lock,Off,Off
