created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2023-05-03T01:27:31Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-13T23:38:14Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,exiting lock screen,Kindle Special Offers enabled
2023-01-30T21:30:30Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-05-15T02:32:20Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,exiting lock screen,Kindle Special Offers enabled
2023-02-20T02:29:50Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,transition to screen saver,Kindle Special Offers enabled
2023-05-16T22:07:48Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-07T04:50:33Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition to screen saver,Kindle Special Offers enabled
2023-07-07T19:16:59Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,exiting lock screen,Kindle Special Offers enabled
2023-07-28T18:51:37Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-04-04T00:41:38Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-20T19:25:51Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-27T22:33:41Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-04-27T03:30:35Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,transition to screen saver,Kindle Special Offers enabled
2023-04-12T00:28:27Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-03T21:31:41Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,transition to screen saver,Kindle Special Offers enabled
2023-05-06T19:46:54Z,www.amazon.com,US,Kindle E-reader,B084357H23,exiting lock screen,Kindle Special Offers enabled
2023-06-28T21:10:26Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition to screen saver,Kindle Special Offers enabled
2023-02-24T03:57:09Z,www.amazon.com,US,Kindle E-reader,B08KQ4W18H,exiting lock screen,Kindle Special Offers enabled
2023-03-09T19:22:29Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-11T22:50:26Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-27T17:58:59Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-12T03:46:21Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exiting lock screen,Kindle Special Offers enabled
2023-06-26T03:34:23Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,transition to screen saver,Kindle Special Offers enabled
2023-04-10T04:32:16Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,transition to screen saver,Kindle Special Offers enabled
2023-03-14T02:42:39Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-05T02:36:11Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-24T03:36:34Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-13T05:45:59Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition to screen saver,Kindle Special Offers enabled
2023-06-15T02:13:13Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition to screen saver,Kindle Special Offers enabled
2023-02-17T04:03:39Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,exiting lock screen,Kindle Special Offers enabled
2023-03-18T04:11:46Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-23T23:21:06Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition to screen saver,Kindle Special Offers enabled
2023-06-14T03:43:19Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,exiting lock screen,Kindle Special Offers enabled
2023-03-09T04:58:29Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition to screen saver,Kindle Special Offers enabled
2023-04-08T04:51:29Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,transition to screen saver,Kindle Special Offers enabled
2023-06-15T00:19:53Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-14T02:03:58Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-01T19:43:41Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,exiting lock screen,Kindle Special Offers enabled
2023-03-14T05:40:28Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-14T05:40:52Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition to screen saver,Kindle Special Offers enabled
2023-07-04T21:57:50Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,exiting lock screen,Kindle Special Offers enabled
2023-06-25T03:11:49Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-08T01:09:36Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,exiting lock screen,Kindle Special Offers enabled
2023-05-20T03:43:35Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-19T03:55:18Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-03T21:10:19Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-02T22:38:54Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-01T04:49:24Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-21T21:15:09Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,exiting lock screen,Kindle Special Offers enabled
2023-05-02T23:11:47Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition to screen saver,Kindle Special Offers enabled
2023-04-28T04:05:10Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,transition to screen saver,Kindle Special Offers enabled
2023-02-14T21:36:06Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,exiting lock screen,Kindle Special Offers enabled
2023-02-24T04:41:29Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,transition to screen saver,Kindle Special Offers enabled
2023-04-23T04:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-06-20T03:20:56Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition to screen saver,Kindle Special Offers enabled
2023-01-27T01:06:29Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,transition to screen saver,Kindle Special Offers enabled
2023-03-02T22:47:45Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,exiting lock screen,Kindle Special Offers enabled
2023-07-07T02:42:43Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,exiting lock screen,Kindle Special Offers enabled
2023-05-14T20:13:39Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition to screen saver,Kindle Special Offers enabled
2023-06-29T10:49:13Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition to screen saver,Kindle Special Offers enabled
2023-05-03T00:00:13Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-12T03:01:27Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-22T02:22:18Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,transition to screen saver,Kindle Special Offers enabled
2023-02-21T22:38:07Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,transition to screen saver,Kindle Special Offers enabled
2023-03-11T23:13:37Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-28T20:45:47Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-02-14T04:15:37Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,exiting lock screen,Kindle Special Offers enabled
2023-05-24T03:36:37Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-06-15T20:50:14Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-27T03:34:43Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-24T03:19:21Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-05T17:09:45Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,exiting lock screen,Kindle Special Offers enabled
2023-03-09T18:07:39Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition to screen saver,Kindle Special Offers enabled
2023-05-22T03:39:14Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-20T03:43:32Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-22T03:18:47Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-26T20:56:36Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,transition to screen saver,Kindle Special Offers enabled
2023-04-05T04:28:34Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,exiting lock screen,Kindle Special Offers enabled
2023-04-04T03:01:23Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-07-26T21:00:17Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,transition to screen saver,Kindle Special Offers enabled
2023-05-12T15:47:13Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
