created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2023-02-13T19:13:58Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,Yes,Yes,Yes,Xray
2023-02-24T03:57:57Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Yes,Yes,Yes,Xray
2022-10-06T04:02:34Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-02-27T23:41:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-03T05:19:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-05-02T03:12:34Z,www.amazon.com,US,Kindle E-reader,MDA2MPOTKOJLTLOVINZIHHXFP4Q3WPNH,No,No,Yes,Xray
2024-09-23T01:52:22Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Yes,No,Yes,Xray
2022-07-14T22:02:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-01-25T20:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-02T03:53:06Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-03-11T22:14:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-04-16T03:35:53Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-08-06T02:58:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-02-09T20:32:23Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-05-05T03:52:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-01-30T03:57:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-09-15T04:50:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-08-08T02:49:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-03-17T20:16:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-09-26T03:49:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-12-10T00:10:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-07-14T23:41:06Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-03-06T01:29:03Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-01-15T05:17:36Z,www.amazon.com,US,Kindle E-reader,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,No,No,Yes,Xray
2023-11-01T03:59:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-02-16T22:47:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-03-23T21:24:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-11-23T04:05:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-02-02T06:20:24Z,www.amazon.com,US,Kindle E-reader,B08PF965W9,Yes,Yes,Yes,Xray
2022-01-07T23:36:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-02-28T22:36:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-11-01T01:34:17Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-01-10T04:25:04Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-12-07T21:37:33Z,www.amazon.com,US,Kindle E-reader,B0C5LRCM2F,Yes,Yes,Yes,Xray
2023-12-31T04:54:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-12-30T05:11:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-07-07T04:42:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-05-04T18:34:27Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-09-12T22:13:05Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-06-09T14:44:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-03-01T21:59:26Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-03-21T04:44:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-08-04T23:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-06-18T02:59:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-01-05T05:49:49Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-04-19T05:03:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-02-08T21:24:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-11-07T05:24:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-09-01T18:54:29Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-03-17T03:14:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-07-26T19:18:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-02-13T19:13:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-12-01T04:09:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-04-23T04:47:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
