created_timestamp,ASIN,customer_context,action,device_family,country,preferred_marketplace
2025-04-17T03:48:23Z,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Not Applicable,Search,Kindle E-reader,US,www.amazon.com
2022-07-19T19:42:08Z,B08N8Z99MK,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2022-07-20T22:28:11Z,B08N8Z99MK,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2022-07-19T19:42:12Z,B08N8Z99MK,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2022-07-20T15:54:01Z,B08N8Z99MK,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2024-07-31T14:29:22Z,28C62463866C4CC99233564ED847A1A5,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2022-07-20T15:53:58Z,B08N8Z99MK,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2024-07-31T14:29:40Z,28C62463866C4CC99233564ED847A1A5,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2022-07-20T22:28:08Z,B08N8Z99MK,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2024-07-17T10:56:05Z,28C62463866C4CC99233564ED847A1A5,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2024-11-07T02:40:07Z,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,Not Applicable,GotoResult,Kindle E-reader,US,www.amazon.com
2022-07-20T16:45:52Z,B08N8Z99MK,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2024-07-17T10:55:24Z,28C62463866C4CC99233564ED847A1A5,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
2024-07-17T10:55:10Z,28C62463866C4CC99233564ED847A1A5,Not Applicable,Search,Kindle for Android,US,www.amazon.com
2022-07-20T16:45:56Z,B08N8Z99MK,Not Applicable,GoToResult,Kindle for Android,US,www.amazon.com
