created_timestamp,ASIN,customer_context,action,type_of_xray_word_or_phrase,xray_word_or_phrase_viewed,device_family,country,preferred_marketplace
2023-03-12T05:37:41Z,B09JBCGQB8,SelectedText,OpenWordOrPhraseDefinition,Term,Oneiric,Kindle E-reader,US,www.amazon.com
2023-05-01T21:09:38Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:09:59Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:07:46Z,B000U913EI,ReadingViewAndMenu,Filter,Person,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-14T18:50:19Z,B09XL59MJX,WordOrPhraseDetail,Scroll,Person,David Linder,Kindle E-reader,US,www.amazon.com
2023-05-01T21:08:19Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:10:05Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:07:54Z,B000U913EI,PeopleList,Scroll,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-14T18:56:06Z,B09XL59MJX,ReadingViewAndMenu,Close,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2024-02-28T04:22:03Z,B0C1YCKNK1,WordOrPhraseDefinition,Open,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2024-05-16T02:50:50Z,B081914PR7,SelectedText,OpenWordOrPhraseDefinition,Term,Ueno Zoo,Kindle E-reader,US,www.amazon.com
2023-07-12T03:10:52Z,B09Y94K74X,NotableClipsList,Filter,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:07:55Z,B000U913EI,PeopleList,Scroll,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:09:47Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:08:55Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-14T18:50:18Z,B09XL59MJX,WordOrPhraseDetail,Scroll,Person,David Linder,Kindle E-reader,US,www.amazon.com
2024-02-28T04:22:03Z,B0C1YCKNK1,ReadingViewAndMenu,Filter,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:08:34Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-07-24T03:51:55Z,B0BH4QWM85,ReadingViewAndMenu,Close,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-07-12T03:10:33Z,B09Y94K74X,ReadingViewAndMenu,Filter,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-14T18:50:12Z,B09XL59MJX,WordOrPhraseDefinition,Open,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:09:09Z,B000U913EI,WordOrPhraseDetail,Next,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
2023-05-01T21:08:02Z,B000U913EI,ReadingViewAndMenu,Filter,Not Available,Not Available,Kindle E-reader,US,www.amazon.com
