Created Timestamp,preferred_marketplace_id,Country,device_family,Setup Flow,Page ID,Language Code,Metric Name,Metric Value
2024-03-15T03:21:03.193Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
2024-01-10T15:31:52.947Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
2024-04-26T23:51:17.893Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
2023-12-30T05:47:07.914Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
2024-02-02T06:01:25.284Z,www.amazon.com,US,Kindle E-reader,Device Setup,Software Download in progress,Not Available,Page exit,Update Start
2024-02-02T06:01:29.858Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
2024-07-01T03:22:09.484Z,www.amazon.com,US,Kindle E-reader,Device Setup,Software Download in progress,Not Available,Page exit,Update Start
2024-04-26T23:51:13.161Z,www.amazon.com,US,Kindle E-reader,Device Setup,Software Download in progress,Not Available,Page exit,Update Start
2024-03-15T03:20:55.256Z,www.amazon.com,US,Kindle E-reader,Device Setup,Software Download in progress,Not Available,Page exit,Update Start
2023-12-30T05:47:03.142Z,www.amazon.com,US,Kindle E-reader,Device Setup,Software Download in progress,Not Available,Page exit,Update Start
2024-07-01T03:22:14.287Z,www.amazon.com,US,Kindle E-reader,Device Setup,Device Setup,Not Available,System Reboot,Start
