created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-03-26T03:00:19Z,www.amazon.com,US,Kindle E-reader,B0BTZRQHJM,About This Book,In-Book,Tap
2024-07-02T21:14:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-03-24T22:24:24Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,Furthest Page Read,In-Book,Tap
2024-01-03T21:32:58Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ,Furthest Page Read,In-Book,Tap
2025-01-27T04:27:41Z,www.amazon.com,US,Kindle E-reader,B0BL6YQ61Y,About This Book,In-Book,Tap
2023-04-12T00:28:47Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Furthest Page Read,In-Book,Tap
2023-04-12T00:29:01Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Furthest Page Read,In-Book,Tap
2023-05-01T20:39:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2025-01-23T23:01:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-04-27T22:15:08Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Furthest Page Read,In-Book,Tap
2024-04-04T23:38:04Z,www.amazon.com,US,Kindle E-reader,B0BXTB6HSN,About This Book,In-Book,Tap
2024-05-13T03:10:20Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB,About This Book,In-Book,Tap
2024-03-18T03:53:36Z,www.amazon.com,US,Kindle E-reader,B0BWGKNK7G,About This Book,In-Book,Tap
2025-02-10T23:23:31Z,www.amazon.com,US,Kindle E-reader,WZ34AC3Z6QKT765I3B5YQEO3U3BZXKLN,Furthest Page Read,In-Book,Tap
2024-01-16T02:13:04Z,www.amazon.com,US,Kindle E-reader,B08TF1VTGX,About This Book,In-Book,Tap
2025-04-15T21:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2025-08-01T21:03:12Z,www.amazon.com,US,Kindle E-reader,Not Available,device_info,KPP_SETTINGS,Tap
2024-01-16T02:19:08Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831,About This Book,In-Book,Tap
2025-01-06T22:56:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-03-01T03:42:38Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Furthest Page Read,In-Book,Tap
2024-05-14T02:01:10Z,www.amazon.com,US,Kindle E-reader,B0C97G1ZR6,About This Book,In-Book,Tap
2023-03-23T21:23:30Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,Furthest Page Read,In-Book,Tap
2023-11-14T02:28:54Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,About This Book,In-Book,Tap
2023-03-20T03:29:02Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,X-Ray,In-Book,Tap
2025-05-30T01:28:36Z,www.amazon.com,US,Kindle E-reader,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Furthest Page Read,In-Book,Tap
2024-04-12T03:24:09Z,www.amazon.com,US,Kindle E-reader,B0BQGJVCMT,About This Book,In-Book,Tap
2023-04-10T21:45:24Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,Furthest Page Read,In-Book,Tap
2025-04-15T21:39:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-04-14T21:13:43Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Furthest Page Read,In-Book,Tap
2023-05-08T19:25:12Z,www.amazon.com,US,Kindle E-reader,B084357H23,Furthest Page Read,In-Book,Tap
2023-06-07T02:59:24Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,About This Book,In-Book,Tap
2024-03-30T02:04:29Z,www.amazon.com,US,Kindle E-reader,B0BTZRQHJM,About This Book,In-Book,Tap
2025-01-21T23:11:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2023-06-14T23:03:51Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Furthest Page Read,In-Book,Tap
2023-04-03T21:10:31Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Furthest Page Read,In-Book,Tap
2023-03-24T22:23:52Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Furthest Page Read,In-Book,Tap
2023-05-23T21:30:22Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Furthest Page Read,In-Book,Tap
2025-05-30T01:21:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2025-04-17T22:01:58Z,www.amazon.com,US,Kindle E-reader,WVIR53TOCAWTSQCQN5QUVUTPLD2YC7AD,Furthest Page Read,In-Book,Tap
2023-06-23T03:52:36Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Furthest Page Read,In-Book,Tap
2023-05-01T21:07:46Z,www.amazon.com,US,Kindle E-reader,B000U913EI,X-Ray,In-Book,Tap
2024-04-08T06:50:31Z,www.amazon.com,US,Kindle E-reader,B007RMYE9M,About This Book,In-Book,Tap
2024-03-01T02:29:56Z,www.amazon.com,US,Kindle E-reader,B0C7RPT9B3,About This Book,In-Book,Tap
2023-06-22T02:59:01Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Furthest Page Read,In-Book,Tap
2025-06-01T23:27:01Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,Furthest Page Read,In-Book,Tap
2023-08-07T04:31:26Z,www.amazon.com,US,Kindle E-reader,B0BG13PH57,About This Book,In-Book,Tap
2024-01-15T04:29:36Z,www.amazon.com,US,Kindle E-reader,B07WG8L7WC,About This Book,In-Book,Tap
2023-05-29T17:16:56Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,About This Book,In-Book,Tap
2023-07-22T03:26:55Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,About This Book,In-Book,Tap
2024-04-12T03:25:00Z,www.amazon.com,US,Kindle E-reader,B0BQGJVCMT,About This Book,In-Book,Tap
2023-06-13T01:24:09Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Furthest Page Read,In-Book,Tap
2023-07-23T03:45:31Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,About This Book,In-Book,Tap
2024-05-11T04:56:13Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831,About This Book,In-Book,Tap
2023-04-19T21:32:34Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Furthest Page Read,In-Book,Tap
2024-04-05T04:08:55Z,www.amazon.com,US,Kindle E-reader,B0BQGHJM5L,About This Book,In-Book,Tap
2023-03-31T20:59:30Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Furthest Page Read,In-Book,Tap
2023-10-31T05:50:13Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8,About This Book,In-Book,Tap
2023-05-04T03:10:40Z,www.amazon.com,US,Kindle E-reader,B084357H23,Furthest Page Read,In-Book,Tap
