ASIN,"Book Type","Product Name",Status,"Update Date"
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-22T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-22T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-21T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-21T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-20T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-19T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-19T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-18T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-18T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-10T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-04-10T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-15T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-15T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-14T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-13T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-13T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-13T00:00:00.00Z
B0BPNP7YQB,EBOOK,"The Heaven & Earth Grocery Store",Completed,2024-03-10T00:00:00.00Z
B0C7RPT9B3,EBOOK,Northwoods,Completed,2024-03-04T00:00:00.00Z
B0C7RPT9B3,EBOOK,Northwoods,Completed,2024-03-04T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-02-13T00:00:00.00Z
B0BJSGV831,EBOOK,"The Covenant of Water (Oprah's Book Club)",Completed,2024-02-13T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-19T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-19T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-18T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-18T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-18T00:00:00.00Z
B08T6CL58V,EBOOK,"Small World",Completed,2023-08-17T00:00:00.00Z
B0BH4QWM85,EBOOK,"The Librarianist",Completed,2023-08-07T00:00:00.00Z
B084G9Z5C3,EBOOK,"One by One",Failed,2023-08-04T00:00:00.00Z
B0BH4QWM85,EBOOK,"The Librarianist",Completed,2023-08-04T00:00:00.00Z
B09Y94K74X,EBOOK,"Everyone in My Family Has Killed Someone",Completed,2023-07-14T00:00:00.00Z
B08PG6CKZJ,EBOOK,"Apples Never Fall",Completed,2023-05-21T00:00:00.00Z
B003L77UKC,EBOOK,"A Calendar of Wisdom",Completed,2023-02-15T00:00:00.00Z
B003L77UKC,EBOOK,"A Calendar of Wisdom",Completed,2023-01-27T00:00:00.00Z
B08PF965W9,EBOOK,Shape,Completed,2022-09-06T00:00:00.00Z
B084M663VB,EBOOK,"The Thursday Murder Club",Failed,2022-08-12T00:00:00.00Z
B084M663VB,EBOOK,"The Thursday Murder Club",Completed,2022-08-11T00:00:00.00Z
B084M663VB,EBOOK,"The Thursday Murder Club",Completed,2022-08-11T00:00:00.00Z
B084M663VB,EBOOK,"The Thursday Murder Club",Completed,2022-08-10T00:00:00.00Z
B084M663VB,EBOOK,"The Thursday Murder Club",Completed,2022-08-10T00:00:00.00Z
B08XTNHRR5,EBOOK,Immune,Completed,2022-05-20T00:00:00.00Z
B08XTNHRR5,EBOOK,Immune,Completed,2022-05-20T00:00:00.00Z
B08N8Z99MK,EBOOK,Crossroads,Completed,2022-03-22T00:00:00.00Z
B08N8Z99MK,EBOOK,Crossroads,Completed,2022-03-18T00:00:00.00Z
B000FC0R7O,EBOOK,"The Lions of Lucerne",Completed,2021-12-30T00:00:00.00Z
B000FC0R7O,EBOOK,"The Lions of Lucerne",Completed,2021-12-10T00:00:00.00Z
B07BDKJVWS,EBOOK,"Winter Loon: A Novel",Completed,2018-11-08T00:00:00.00Z
