ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format","Product Name",Reason,"Software Version",Status,"Third Party Device","Update Date","Update Target"
B0DJM99D77,"NOT AVAILABLE","NOT AVAILABLE",2025-07-21T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Woman in Suite 11","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0DJ7XG2MQ,"NOT AVAILABLE","NOT AVAILABLE",2025-06-24T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","King of Ashes","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0D9F3KFPM,"NOT AVAILABLE","NOT AVAILABLE",2025-06-24T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Maid's Secret","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0DHDF2RDL,"NOT AVAILABLE","NOT AVAILABLE",2025-06-23T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The River Is Waiting (Oprah's Book Club)","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0CWFMT5SC,"NOT AVAILABLE","NOT AVAILABLE",2025-05-11T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Tilt,"NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09SKWT6SF,"NOT AVAILABLE","NOT AVAILABLE",2025-05-06T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Murder of Roger Ackroyd","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0DY9TZD8Z,"NOT AVAILABLE","NOT AVAILABLE",2025-05-06T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Careless People","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0DLLGPNMQ,"NOT AVAILABLE","NOT AVAILABLE",2025-05-04T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Gone Gone","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0D3CBLLPH,"NOT AVAILABLE","NOT AVAILABLE",2025-04-21T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Win the Inside Game","NOT AVAILABLE",4417610025,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0D57LWBM6,"NOT AVAILABLE","NOT AVAILABLE",2025-04-13T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Hedgehog’s Dilemma","NOT AVAILABLE",4351860007,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
