DocumentId,Title,DocumentProvider,Filename,DocumentOriginalType,DocumentSizeInBytes,DocumentTypeAndConvertionCompletionStatus 1,DocumentTypeAndConvertionCompletionStatus 2,DocumentTypeAndConvertionCompletionStatus 3,DocumentTypeAndConvertionCompletionStatus 4,DocumentTypeAndConvertionCompletionStatus 5,HasBeenDeleted,EntryCreationDate
SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Seascraper (Benjamin Wood) (Z-Library),Benjamin Wood,Seascraper (Benjamin Wood) (Z-Library).azw8,application/x-mobi8-ebook,612424,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-29T15:47:47.063Z"
FL3NEUQ2GAR53VPJA4427F67PPROIYBM,The Rest of Our Lives (Benj_ (Z-Library),Benjamin Markovits,The Rest of Our Lives (Benj_ (Z-Library).azw8,application/x-mobi8-ebook,372704,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-29T15:47:25.442Z"
CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Florida Palms (Joe Pan) (Z-Library),Joe Pan,Florida Palms (Joe Pan) (Z-Library).azw8,application/x-mobi8-ebook,1216908,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-27T18:32:12.909Z"
LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Heartwood (Amity Gaige) (Z-Library),Amity Gaige,Heartwood (Amity Gaige) (Z-Library).azw8,application/x-mobipocket-ebook,1119184,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-26T04:33:01.473Z"
KGYWKIBH5PNSEB3YPUA5KDHPGPGI5X4V,Flashlight (Susan Choi) (Z-Library),Susan Choi,Flashlight (Susan Choi) (Z-Library).azw8,application/x-mobipocket-ebook,1181732,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-20T20:14:58.313Z"
7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,The Slip (Lucas Schaefer) (Z-Library),Lucas Schaefer,The Slip (Lucas Schaefer) (Z-Library).azw8,application/x-mobipocket-ebook,1403048,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-18T16:29:14.089Z"
MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,The Last One at the Wedding_ (Z-Library),Jason Rekulak,The Last One at the Wedding_ (Z-Library).azw8,application/x-mobi8-ebook,1695556,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-15T18:22:39.652Z"
RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,Turbulence (David Szalay) (Z-Library),David Szalay,Turbulence (David Szalay) (Z-Library).azw8,application/x-mobi8-ebook,399056,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-15T04:06:32.178Z"
CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Vera or Faith (Gary Shteyn_ (Z-Library),Gary Shteyngart,Vera or Faith (Gary Shteyn_ (Z-Library).azw8,application/x-mobipocket-ebook,830480,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-10T21:28:09.922Z"
VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,London and the South-East (_ (Z-Library),David Szalay,London and the South-East (_ (Z-Library).azw8,application/x-mobi8-ebook,512700,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-10T21:27:50.961Z"
DLPKNHHPHNJ4DUAQY2GFGV5CUSFQXXJU,The Hike A Novel (Drew Magary) (Z-Library),Drew Magary,The Hike A Novel (Drew Magary) (Z-Library).azw8,application/x-mobipocket-ebook,711064,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-06T19:54:15.653Z"
SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,All That Man Is (David Szalay) (Z-Library),David Szalay,All That Man Is (David Szalay) (Z-Library).azw8,application/x-mobi8-ebook,637504,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-07-06T19:50:14.344Z"
43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,How to Dodge a Cannonball (_ (Z-Library),Dennard Dayle,How to Dodge a Cannonball (_ (Z-Library).azw8,application/x-mobipocket-ebook,785316,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-24T20:06:40.400Z"
433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,Life as No One Knows It The_ (Z-Library),Sara Imari Walker,Life as No One Knows It The_ (Z-Library).azw8,application/x-mobipocket-ebook,767732,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-24T18:17:14.097Z"
77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Bad Company Private Equity_ (Z-Library),Megan Greenwell,Bad Company Private Equity_ (Z-Library).azw8,application/x-mobipocket-ebook,851612,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-24T04:40:22.788Z"
JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,The Rider (Tim Krabbé) (Z-Library),Tim Krabbé,The Rider (Tim Krabbé) (Z-Library).azw8,application/x-mobipocket-ebook,377144,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-12T23:32:42.613Z"
WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Rider (Krabbe Tim) (Z-Library),Tim Krabbé,Rider (Krabbe Tim) (Z-Library).azw8,application/x-mobipocket-ebook,243936,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2025-06-12T18:03:24.241Z"
