created_timestamp,preferred_marketplace,device_family,card_name,card_position
2022-12-18T22:27:34Z,www.amazon.com,Kindle for Android,More like [book title],8
2023-02-15T06:18:44Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-05-20T03:52:18Z,www.amazon.com,Kindle for Android,,1
2022-12-18T22:25:55Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,3
2023-03-07T03:52:31Z,www.amazon.com,Kindle for Android,,9
2023-03-05T04:56:06Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-07-16T21:10:06Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-01-19T05:42:51Z,www.amazon.com,Kindle for Android,Based on your reading,3
2022-12-16T05:11:04Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,3
2023-03-05T04:56:40Z,www.amazon.com,Kindle for Android,,13
2023-05-15T03:12:50Z,www.amazon.com,Kindle for Android,,1
2023-05-15T03:08:28Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:18:29Z,www.amazon.com,Kindle for Android,,13
2023-02-27T23:51:02Z,www.amazon.com,Kindle for Android,Expand your reading horizons,1
2023-02-20T03:01:50Z,www.amazon.com,Kindle for Android,Follow the author,8
2022-12-20T19:00:07Z,www.amazon.com,Kindle for Android,Reading Insights,1
2022-12-20T18:59:51Z,www.amazon.com,Kindle for Android,Reading Insights,2
2023-06-19T21:29:16Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-04-04T23:12:22Z,www.amazon.com,Kindle for Android,,1
2023-03-25T18:13:36Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:02:29Z,www.amazon.com,Kindle for Android,Expand your reading horizons,12
2023-02-28T19:21:02Z,www.amazon.com,Kindle for Android,,13
2023-02-15T06:02:19Z,www.amazon.com,Kindle for Android,,7
2022-12-18T22:27:27Z,www.amazon.com,Kindle for Android,More like [book title],6
2022-12-20T19:00:41Z,www.amazon.com,Kindle for Android,More like [book title],10
2023-06-19T21:29:05Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-03-07T03:52:28Z,www.amazon.com,Kindle for Android,More like [book title],5
2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,,2
2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,,3
2023-04-04T23:11:53Z,www.amazon.com,Kindle for Android,,2
2022-12-16T04:20:54Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:42:59Z,www.amazon.com,Kindle for Android,,5
2023-07-05T17:30:45Z,www.amazon.com,Kindle for Android,,1
2023-06-28T03:54:33Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-12T05:36:24Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,1
2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,,2
2023-04-21T03:43:49Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-01-12T05:50:17Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-15T06:18:30Z,www.amazon.com,Kindle for Android,Recommended for you,10
2023-01-12T05:36:15Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,1
2023-05-14T17:40:27Z,www.amazon.com,Kindle for Android,,1
2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,More like [book title],5
2023-04-21T03:42:08Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-02-15T06:01:42Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-03-07T03:52:09Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-04-21T03:43:45Z,www.amazon.com,Kindle for Android,,3
2023-03-07T03:52:23Z,www.amazon.com,Kindle for Android,Expand your reading horizons,2
2023-03-09T03:07:17Z,www.amazon.com,Kindle for Android,,1
2023-03-07T03:52:50Z,www.amazon.com,Kindle for Android,,12
2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,Upcoming releases for you,5
2023-01-12T05:50:17Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,1
2023-06-28T03:54:51Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,More like [book title],4
2023-01-25T00:55:23Z,www.amazon.com,Kindle for Android,More by [author name],2
2022-12-16T05:11:28Z,www.amazon.com,Kindle for Android,More like [book title],8
2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,,4
2023-03-05T04:56:29Z,www.amazon.com,Kindle for Android,,9
2023-04-04T23:12:24Z,www.amazon.com,Kindle for Android,,1
2023-02-28T19:20:30Z,www.amazon.com,Kindle for Android,,8
2023-06-28T23:55:47Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,,11
2023-01-12T05:36:15Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-28T19:20:50Z,www.amazon.com,Kindle for Android,More like [book title],9
2023-03-05T04:56:29Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,10
2022-12-16T05:10:04Z,www.amazon.com,Kindle for Android,More like [book title],8
2023-03-13T19:33:02Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-04-13T03:00:42Z,www.amazon.com,Kindle for Android,,1
2023-07-06T18:55:56Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-02-15T06:18:29Z,www.amazon.com,Kindle for Android,Expand your reading horizons,12
2023-02-20T03:02:00Z,www.amazon.com,Kindle for Android,Recommended for you,10
2023-06-14T22:23:06Z,www.amazon.com,Kindle for Android,,1
2022-12-25T19:30:54Z,www.amazon.com,Kindle for Android,,2
2023-01-12T05:36:24Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-04-04T23:12:06Z,www.amazon.com,Kindle for Android,,1
2023-04-28T03:38:06Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-06-30T22:47:07Z,www.amazon.com,Kindle for Android,,1
2023-04-28T19:56:58Z,www.amazon.com,Kindle for Android,,2
2023-05-02T01:04:29Z,www.amazon.com,Kindle for Android,,4
2023-03-30T03:46:57Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:09:50Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,4
2023-06-08T21:28:06Z,www.amazon.com,Kindle for Android,,1
2023-06-14T22:23:06Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-01-07T06:14:27Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-27T23:51:02Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-05-15T03:22:00Z,www.amazon.com,Kindle for Android,,2
2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,,3
2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,,4
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,,4
2023-07-21T15:52:15Z,www.amazon.com,Kindle for Android,More like [book title],1
