asin_date_and_content_type,product_name
096E674F00DC4192A0B7E99C3AB4A388_2024-06-21_AUTOMATIC,Not Available
1582342903_2025-06-15_MANUAL,The Rider
2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV_2025-01-29_AUTOMATIC,Not Available
3F18E7B1DE9B48E1B46CEBD543D9AD15_2024-08-24_AUTOMATIC,Not Available
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK_2022-10-05_AUTOMATIC,Not Available
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK_2022-10-06_MANUAL,Not Available
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK_2022-10-23_AUTOMATIC,Not Available
6C1EF968A24F49B0BF68A0FC5BA314DC_2024-08-20_AUTOMATIC,Not Available
6NDGE2NIHCVUABABQEW7LNCIZ7TO6CGC_2025-03-01_AUTOMATIC,Not Available
AQRV2TZVKL2XDXB54TOUVW5PFQVAB7WU_2024-12-08_AUTOMATIC,Not Available
B000JMKNV0_2024-01-10_AUTOMATIC,Shutter Island
B003K15IF8_2025-02-17_AUTOMATIC,Stoner (New York Review Books Classics)
B003K15IF8_2025-02-17_MANUAL,Stoner (New York Review Books Classics)
B0044781ZQ_2024-02-22_AUTOMATIC,The Devotion of Suspect X: A Detective Galileo Novel (Detective Galileo Series Book 1)
B007D1TKAU_2023-03-25_AUTOMATIC,Running for My Life: One Lost Boy's Journey from the Killing Fields of Sudan to the Olympic Games
B008J2G5Y6_2024-04-03_AUTOMATIC,Ordinary Grace: A Novel
B00OICLVBI_2022-08-15_AUTOMATIC,The 5 Love Languages: The Secret to Love that Lasts
B01181UBSU_2025-02-04_MANUAL,The Stranger by Albert Camus (1989) Paperback
B075SPBQDV_2023-04-04_AUTOMATIC,The Man Who Died
B075SPBQDV_2023-04-04_MANUAL,The Man Who Died
B07GD51NCJ_2023-07-21_AUTOMATIC,Rabbits for Food
B07HB5DKQX_2023-04-09_MANUAL,"Palm Beach, Finland"
B07HDT9JFX_2024-02-15_AUTOMATIC,Someone Who Will Love You in All Your Damaged Glory: Stories
B07VDJBKNJ_2023-02-20_AUTOMATIC,Randomize (Forward collection)
B07WG8L7WC_2024-01-18_AUTOMATIC,The Guest List: A Novel
B07WK8JZ9N_2022-11-18_AUTOMATIC,In Fifty Words!: Micro Fictions
B081M4F8GH_2025-02-20_MANUAL,No Room at the Morgue
B084357H23_2023-05-03_AUTOMATIC,The Invisible Life of Addie LaRue
B084G9Z5C3_2023-07-23_AUTOMATIC,One by One
B084G9Z5C3_2023-07-26_MANUAL,One by One
B084G9Z5C3_2023-08-04_AUTOMATIC,One by One
B084M663VB_2022-08-12_AUTOMATIC,The Thursday Murder Club: A Novel (Thursday Murder Club Mysteries Book 1)
B08BYBNGMW_2022-12-27_AUTOMATIC,Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion
B08FGV64B1_2023-12-20_AUTOMATIC,Four Thousand Weeks: Time Management for Mortals
B08N8Z99MK_2022-07-21_AUTOMATIC,Crossroads: A Novel
B08NT2VSWF_2023-02-22_AUTOMATIC,Godspeed
B08PG6CKZJ_2023-05-29_AUTOMATIC,Apples Never Fall
B08QXTPXPH_2023-03-01_AUTOMATIC,The Last Mona Lisa: A Novel
B08T6CL58V_2023-08-26_AUTOMATIC,Small World: A Novel
B08TF1VTGX_2024-01-16_AUTOMATIC,The Killing Hills (The Mick Hardin Novels Book 1)
B08THH7R49_2022-09-13_AUTOMATIC,Five Decembers
B08YRM9NBM_2022-08-27_AUTOMATIC,The Man Who Died Twice: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 2)
B092T947PJ_2023-09-04_AUTOMATIC,The Golden Couple: A Novel
B097769VDM_2022-09-28_AUTOMATIC,Nine Lives: A Novel
B09BV2JNWV_2023-10-22_AUTOMATIC,Trust (Pulitzer Prize Winner)
B09JBCGQB8_2023-03-15_AUTOMATIC,"Tomorrow, and Tomorrow, and Tomorrow: A novel"
B09JBCGQB8_2023-03-15_MANUAL,"Tomorrow, and Tomorrow, and Tomorrow: A novel"
B09LHBX5KV_2024-02-08_AUTOMATIC,Diary of a Void: A Novel
B09LHBX5KV_2024-02-08_MANUAL,Diary of a Void: A Novel
