ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
Not Available,2025-08-01T04:46:40Z,Not Available,www.amazon.com,2025-08-01T04:46:40Z,0
Not Available,2025-08-01T04:46:40Z,Not Available,www.amazon.com,2025-08-01T04:20:08.600Z,1591400
Not Available,2025-08-01T04:17:11Z,Not Available,www.amazon.com,2025-08-01T04:17:11Z,0
Not Available,2025-08-01T04:17:11.200Z,Not Available,www.amazon.com,2025-08-01T03:18:18.900Z,3532300
Not Available,2025-08-01T03:18:04Z,Not Available,www.amazon.com,2025-08-01T03:18:04Z,0
Not Available,2025-08-01T03:18:04.300Z,Not Available,www.amazon.com,2025-08-01T02:59:31.800Z,1112500
Not Available,2025-07-31T23:37:51Z,Not Available,www.amazon.com,2025-07-31T23:37:51Z,0
Not Available,2025-07-31T23:37:51.200Z,Not Available,www.amazon.com,2025-07-31T23:02:07.700Z,2143500
Not Available,2025-07-31T04:21:01Z,Not Available,www.amazon.com,2025-07-31T04:21:01Z,0
Not Available,2025-07-31T04:21:01.100Z,Not Available,www.amazon.com,2025-07-31T03:13:50Z,4031100
Not Available,2025-07-31T03:13:35Z,Not Available,www.amazon.com,2025-07-31T03:13:35Z,0
Not Available,2025-07-31T03:13:35.900Z,Not Available,www.amazon.com,2025-07-31T03:11:42Z,113900
Not Available,2025-07-31T00:38:00Z,Not Available,www.amazon.com,2025-07-31T00:38:00Z,0
Not Available,2025-07-31T00:38:00.400Z,Not Available,www.amazon.com,2025-07-30T23:45:14.800Z,3165600
Not Available,2025-07-30T23:35:35Z,Not Available,www.amazon.com,2025-07-30T23:35:35Z,0
Not Available,2025-07-30T23:35:34.900Z,Not Available,www.amazon.com,2025-07-30T23:22:04.800Z,810100
Not Available,2025-07-30T23:10:29Z,Not Available,www.amazon.com,2025-07-30T23:10:29Z,0
Not Available,2025-07-30T23:10:29.600Z,Not Available,www.amazon.com,2025-07-30T22:42:18.800Z,1690800
Not Available,2025-07-30T21:40:42Z,Not Available,www.amazon.com,2025-07-30T21:40:42Z,0
Not Available,2025-07-30T21:40:42.600Z,Not Available,www.amazon.com,2025-07-30T21:08:59.100Z,1903500
Not Available,2025-07-30T13:51:39.200Z,Not Available,www.amazon.com,2025-07-30T13:49:43Z,116200
Not Available,2025-07-30T13:49:20.600Z,Not Available,www.amazon.com,2025-07-30T13:49:18.100Z,2500
Not Available,2025-07-30T13:48:14.900Z,Not Available,www.amazon.com,2025-07-30T13:47:20.800Z,54100
Not Available,2025-07-30T04:14:01Z,Not Available,www.amazon.com,2025-07-30T04:14:01Z,0
Not Available,2025-07-30T04:14:00.800Z,Not Available,www.amazon.com,2025-07-30T03:27:23.900Z,2796900
Not Available,2025-07-29T20:28:30.124Z,Not Available,www.amazon.com,2025-07-29T20:28:30.124Z,0
Not Available,2025-07-29T20:28:30.900Z,Not Available,www.amazon.com,2025-07-29T20:26:23Z,127900
Not Available,2025-07-29T15:47:27.900Z,Not Available,www.amazon.com,2025-07-29T15:46:38.500Z,49400
Not Available,2025-07-29T04:13:57Z,Not Available,www.amazon.com,2025-07-29T04:13:57Z,0
Not Available,2025-07-29T04:13:57.100Z,Not Available,www.amazon.com,2025-07-29T03:11:26.800Z,3750300
Not Available,2025-07-29T02:58:08Z,Not Available,www.amazon.com,2025-07-29T02:58:08Z,0
Not Available,2025-07-29T02:58:08.500Z,Not Available,www.amazon.com,2025-07-29T02:24:21.800Z,2026700
Not Available,2025-07-28T23:04:21Z,Not Available,www.amazon.com,2025-07-28T23:04:21Z,0
Not Available,2025-07-28T23:04:21.700Z,Not Available,www.amazon.com,2025-07-28T22:27:26.800Z,2214900
Not Available,2025-07-28T04:08:15Z,Not Available,www.amazon.com,2025-07-28T04:08:15Z,0
Not Available,2025-07-28T04:08:14.800Z,Not Available,www.amazon.com,2025-07-28T03:25:38.800Z,2556000
Not Available,2025-07-27T19:19:09Z,Not Available,www.amazon.com,2025-07-27T19:19:09Z,0
Not Available,2025-07-27T19:19:09.400Z,Not Available,www.amazon.com,2025-07-27T18:33:16.100Z,2753300
Not Available,2025-07-27T18:29:23.600Z,Not Available,www.amazon.com,2025-07-27T18:29:11.800Z,11800
Not Available,2025-07-27T02:17:11Z,Not Available,www.amazon.com,2025-07-27T02:17:11Z,0
Not Available,2025-07-27T02:17:10.900Z,Not Available,www.amazon.com,2025-07-27T02:15:22Z,108900
Not Available,2025-07-27T02:14:55Z,Not Available,www.amazon.com,2025-07-27T02:14:55Z,0
Not Available,2025-07-27T02:14:55.800Z,Not Available,www.amazon.com,2025-07-26T22:59:35.700Z,11720100
Not Available,2025-07-26T22:38:13Z,Not Available,www.amazon.com,2025-07-26T22:38:13Z,0
Not Available,2025-07-26T22:38:12.800Z,Not Available,www.amazon.com,2025-07-26T22:08:59.400Z,1753400
Not Available,2025-07-26T22:08:50Z,Not Available,www.amazon.com,2025-07-26T22:08:50Z,0
Not Available,2025-07-26T22:08:50.600Z,Not Available,www.amazon.com,2025-07-26T20:14:39.700Z,6850900
Not Available,2025-07-26T20:02:24Z,Not Available,www.amazon.com,2025-07-26T20:02:24Z,0
Not Available,2025-07-26T20:02:24Z,Not Available,www.amazon.com,2025-07-26T19:39:03.700Z,1400300
Not Available,2025-07-26T18:22:19Z,Not Available,www.amazon.com,2025-07-26T18:22:19Z,0
Not Available,2025-07-26T18:22:18.700Z,Not Available,www.amazon.com,2025-07-26T17:59:16.800Z,1381900
Not Available,2025-07-26T05:07:33Z,Not Available,www.amazon.com,2025-07-26T05:07:33Z,0
Not Available,2025-07-26T05:07:32.600Z,Not Available,www.amazon.com,2025-07-26T04:33:20.900Z,2051700
Not Available,2025-07-26T04:29:33.500Z,Not Available,www.amazon.com,2025-07-26T04:29:22.500Z,11000
Not Available,2025-07-26T04:26:18Z,Not Available,www.amazon.com,2025-07-26T04:26:18Z,0
Not Available,2025-07-26T04:26:18.400Z,Not Available,www.amazon.com,2025-07-26T04:12:36.700Z,821700
Not Available,2025-07-26T04:09:22Z,Not Available,www.amazon.com,2025-07-26T04:09:22Z,0
Not Available,2025-07-26T04:09:22.700Z,Not Available,www.amazon.com,2025-07-26T03:00:46.800Z,4115900
Not Available,2025-07-25T23:08:59Z,Not Available,www.amazon.com,2025-07-25T23:08:59Z,0
Not Available,2025-07-25T23:08:58.900Z,Not Available,www.amazon.com,2025-07-25T22:34:47.800Z,2051100
Not Available,2025-07-25T03:46:03Z,Not Available,www.amazon.com,2025-07-25T03:46:03Z,0
Not Available,2025-07-25T03:46:03.100Z,Not Available,www.amazon.com,2025-07-25T03:23:58.800Z,1324300
Not Available,2025-07-23T22:13:58Z,Not Available,www.amazon.com,2025-07-23T22:13:58Z,0
Not Available,2025-07-23T22:13:58.100Z,Not Available,www.amazon.com,2025-07-23T21:47:07.400Z,1610700
Not Available,2025-07-23T21:46:50.600Z,Not Available,www.amazon.com,2025-07-23T21:46:36.800Z,13800
Not Available,2025-07-23T03:48:53Z,Not Available,www.amazon.com,2025-07-23T03:48:53Z,0
Not Available,2025-07-23T03:48:53Z,Not Available,www.amazon.com,2025-07-23T03:35:44.900Z,788100
Not Available,2025-07-22T04:14:21Z,Not Available,www.amazon.com,2025-07-22T04:14:21Z,0
Not Available,2025-07-22T04:14:21.200Z,Not Available,www.amazon.com,2025-07-22T03:57:10Z,1031200
Not Available,2025-07-22T03:56:55Z,Not Available,www.amazon.com,2025-07-22T03:56:55Z,0
Not Available,2025-07-22T03:56:55.500Z,Not Available,www.amazon.com,2025-07-22T03:36:03.800Z,1251700
Not Available,2025-07-21T23:21:02Z,Not Available,www.amazon.com,2025-07-21T23:21:02Z,0
Not Available,2025-07-21T23:21:01.900Z,Not Available,www.amazon.com,2025-07-21T22:44:09.900Z,2212000
Not Available,2025-07-21T21:18:50Z,Not Available,www.amazon.com,2025-07-21T21:18:50Z,0
Not Available,2025-07-21T21:18:50.200Z,Not Available,www.amazon.com,2025-07-21T20:46:07.900Z,1962300
B0DJM99D77,2025-07-21T19:56:59.100Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-21T19:56:43.700Z,15400
Not Available,2025-07-21T19:55:59Z,Not Available,www.amazon.com,2025-07-21T19:55:59Z,0
Not Available,2025-07-21T19:55:59.500Z,Not Available,www.amazon.com,2025-07-21T19:55:07.900Z,51600
Not Available,2025-07-21T14:32:23Z,Not Available,www.amazon.com,2025-07-21T14:22:31.100Z,591900
Not Available,2025-07-21T14:22:20.300Z,Not Available,www.amazon.com,2025-07-21T14:22:16.900Z,3400
Not Available,2025-07-21T04:52:30Z,Not Available,www.amazon.com,2025-07-21T04:52:30Z,0
Not Available,2025-07-21T04:52:29.900Z,Not Available,www.amazon.com,2025-07-21T04:38:27.200Z,842700
Not Available,2025-07-21T04:38:20Z,Not Available,www.amazon.com,2025-07-21T04:38:20Z,0
Not Available,2025-07-21T04:38:21Z,Not Available,www.amazon.com,2025-07-21T04:38:01Z,20000
Not Available,2025-07-21T04:37:33Z,Not Available,www.amazon.com,2025-07-21T04:37:33Z,0
Not Available,2025-07-21T04:37:33.500Z,Not Available,www.amazon.com,2025-07-21T04:03:39.900Z,2033600
Not Available,2025-07-20T20:38:05Z,Not Available,www.amazon.com,2025-07-20T20:38:05Z,0
Not Available,2025-07-20T20:38:04.800Z,Not Available,www.amazon.com,2025-07-20T20:14:21.800Z,1423000
Not Available,2025-07-20T03:17:14Z,Not Available,www.amazon.com,2025-07-20T03:17:14Z,0
Not Available,2025-07-20T03:17:14.700Z,Not Available,www.amazon.com,2025-07-20T02:50:55.600Z,1579100
Not Available,2025-07-20T02:50:23Z,Not Available,www.amazon.com,2025-07-20T02:50:23Z,0
Not Available,2025-07-20T02:50:23.600Z,Not Available,www.amazon.com,2025-07-20T02:25:21.800Z,1501800
Not Available,2025-07-19T22:05:18Z,Not Available,www.amazon.com,2025-07-19T22:05:18Z,0
Not Available,2025-07-19T22:05:18Z,Not Available,www.amazon.com,2025-07-19T21:54:41.900Z,636100
Not Available,2025-07-19T20:16:16Z,Not Available,www.amazon.com,2025-07-19T20:16:16Z,0
Not Available,2025-07-19T20:16:16.500Z,Not Available,www.amazon.com,2025-07-19T20:02:09.800Z,846700
Not Available,2025-07-19T19:52:35Z,Not Available,www.amazon.com,2025-07-19T19:52:35Z,0
Not Available,2025-07-19T19:52:35.600Z,Not Available,www.amazon.com,2025-07-19T19:20:50.800Z,1904800
Not Available,2025-07-19T19:16:15Z,Not Available,www.amazon.com,2025-07-19T19:16:15Z,0
Not Available,2025-07-19T19:16:14.900Z,Not Available,www.amazon.com,2025-07-19T18:38:39.100Z,2255800
Not Available,2025-07-19T17:59:40Z,Not Available,www.amazon.com,2025-07-19T17:59:40Z,0
Not Available,2025-07-19T17:59:39.900Z,Not Available,www.amazon.com,2025-07-19T16:53:29Z,3970900
Not Available,2025-07-19T03:42:49Z,Not Available,www.amazon.com,2025-07-19T03:42:49Z,0
Not Available,2025-07-19T03:42:49.400Z,Not Available,www.amazon.com,2025-07-19T02:45:54.700Z,3414700
Not Available,2025-07-19T02:41:48Z,Not Available,www.amazon.com,2025-07-19T02:41:48Z,0
Not Available,2025-07-19T02:41:47.800Z,Not Available,www.amazon.com,2025-07-19T02:28:11.800Z,816000
Not Available,2025-07-19T02:10:55Z,Not Available,www.amazon.com,2025-07-19T02:10:55Z,0
Not Available,2025-07-19T02:10:55.100Z,Not Available,www.amazon.com,2025-07-19T01:52:33.700Z,1101400
Not Available,2025-07-19T01:34:27Z,Not Available,www.amazon.com,2025-07-19T01:34:27Z,0
Not Available,2025-07-19T01:34:26.800Z,Not Available,www.amazon.com,2025-07-19T01:16:06.700Z,1100100
Not Available,2025-07-18T22:39:42Z,Not Available,www.amazon.com,2025-07-18T22:39:42Z,0
Not Available,2025-07-18T22:39:42.700Z,Not Available,www.amazon.com,2025-07-18T22:09:48.700Z,1794000
Not Available,2025-07-18T21:38:04.200Z,Not Available,www.amazon.com,2025-07-18T21:28:04.600Z,599600
Not Available,2025-07-18T21:27:46Z,Not Available,www.amazon.com,2025-07-18T21:27:46Z,0
Not Available,2025-07-18T21:27:45.900Z,Not Available,www.amazon.com,2025-07-18T20:19:17.900Z,4108000
Not Available,2025-07-18T16:32:39Z,Not Available,www.amazon.com,2025-07-18T16:32:39Z,0
Not Available,2025-07-18T16:32:39.100Z,Not Available,www.amazon.com,2025-07-18T16:32:28.900Z,10200
Not Available,2025-07-18T16:32:04.300Z,Not Available,www.amazon.com,2025-07-18T16:31:46.500Z,17800
Not Available,2025-07-18T16:31:02Z,Not Available,www.amazon.com,2025-07-18T16:31:02Z,0
Not Available,2025-07-18T16:31:02.600Z,Not Available,www.amazon.com,2025-07-18T16:30:23.900Z,38700
Not Available,2025-07-18T03:48:53Z,Not Available,www.amazon.com,2025-07-18T03:48:53Z,0
Not Available,2025-07-18T03:48:53.400Z,Not Available,www.amazon.com,2025-07-18T03:22:02.500Z,1610900
Not Available,2025-07-17T21:13:29Z,Not Available,www.amazon.com,2025-07-17T21:13:29Z,0
