"Product Name","ASIN","Author ID"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","B001JPCAKS"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","B001JPCAKS"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","B0D815SS8H"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","B0D815SS8H"
"Turbulence: A Novel","1982122730","B0034Q3JWI"
"Turbulence: A Novel","1982122730","B0034Q3JWI"
"The Woman in Suite 11: A Novel","B0DJM99D77","B00OA8QDT0"
"The Woman in Suite 11: A Novel","B0DJM99D77","B00OA8QDT0"
"The Last One at the Wedding: A Novel","1250895782","B001JAQ60S"
"The Last One at the Wedding: A Novel","1250895782","B001JAQ60S"
"The Maid's Secret: A Maid Novel (Molly the Maid Book 3)","B0D9F3KFPM","B096BLV2JQ"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","B000APITZS"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","B000APITZS"
"The Game","0470835842","B001HOE4GE"
"The Game","0470835842","B001HOE4GE"
"Aldo Leopold: A Sand County Almanac & Other Writings on Conservation and Ecology (LOA #238) (Library of America)","B00BUP18U0","B000APZ3MU"
"The Rider","1582342903","B000APEA88"
"The Rider","1582342903","B000APEA88"
"The Wedding People: A Novel","B0CJ839C56","B003WOQQN6"
"The Emperor of Gladness: Oprah's Book Club: A Novel","059383187X","B004ODUZ2M"
"On the Calculation of Volume (Book I): Shortlisted for the 2025 International Booker Prize","0811237257","B001JY4CN2"
"Run for the Hills: From the NYT Bestselling Author of Nothing to See Here","0063317516","B002BMMH9C"
"Flesh: A Novel","198212279X","B0034Q3JWI"
"Tilt: A Novel","B0CWFMT5SC","B0DBSGHCGM"
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism","B0DY9TZD8Z","B0F1T6SMJP"
"Audition: A Novel","059385232X","B00OYSYUXC"
"The Hedgehog’s Dilemma","B0D57LWBM6","B001JOFG9G"
"The Murder Show","1250325722","B07567W7ZV"
"I See You've Called in Dead: A Novel","B0DC7V6RMG","B00DQELE1G"
"CABIN: Off the Grid Adventures with a Clueless Craftsman","1250285704","B0DNNGW486"
"Kills Well with Others","0593638514","B001H6IPEY"
"The Passenger Seat","1771966300","B0DVL3364Y"
"Rental House: A Novel","0593545540","B071PCWBZV"
"Fifty in Reverse: A Novel","1982152672","B001H6L9EW"
"Hansons Marathon Method: Run Your Fastest Marathon the Hansons Way","B0CDDCJ6P2","B007RB8HMI"
"Martin Dressler: The Tale of an American Dreamer (Vintage Contemporaries)","B004089I6A","B000AQ3L6Y"
"The Botany of Desire: A Plant's-Eye View of the World","B000FC1H14","B000AQ74HQ"
"Beartooth: A Novel","1954118023","B0745475Y6"
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success","162336793X","B00II9FUTG"
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success","162336793X","B01M3U4B75"
"Banana: The Fate of the Fruit That Changed the World","1594630380","B001HMLH3O"
"The Ghost Map: The Story of London's Most Terrifying Epidemic and How It Changed Science, Cities, and the Modern World","1594489254","B000APC0M6"
"Out of Thin Air: Running Wisdom and Magic from Above the Clouds in Ethiopia: Winner of the Margaret Mead Award 2022","1472975324","B08CGQDGPJ"
"The Incomplete Book of Running","1451696248","B07JM29N6S"
"North Woods: A Novel","0593597036","B001IQZBKY"
"Somebody's Fool: A novel (North Bath Trilogy)","0593317890","B000AQ0EIM"
"My Year of Running Dangerously: A Dad, a Daughter, and a Ridiculous Plan","0399175474","B01LW5001G"
"James (Pulitzer Prize Winner): A Novel","0385550367","B001H6L4QK"
"Memoirs of Hadrian (FSG Classics)","0374529264","B000APPC2Q"
"Memoirs of Hadrian (FSG Classics)","0374529264","B00JN47IK4"
"Fast Girl: A Life Spent Running from Madness","0062346229","B01DR0E0AU"
"No Room at the Morgue","B081M4F8GH","B001JOZR1S"
"Stoner (New York Review Books Classics)","B003K15IF8","B00TTO3JVA"
"Dead Money: A Novel","0593726707","B0DFJ3D95L"
"The Miraculous from the Material: Understanding the Wonders of Nature","0593701488","B000APY6Q4"
"Frostbite: How Refrigeration Changed Our Food, Our Planet, and Ourselves","B0CJTKZCTR","B0BHM4J6RZ"
"The Bones of Bascom Hall (A Nora Barnes and Toby Sandler Mystery)","B0DMDYK6Y6","B00THH3EBY"
"Everything Is Predictable: How Bayesian Statistics Explain Our World","1668052601","B07TBKPJBP"
"Hansons Half-Marathon Method: Run Your Best Half-Marathon the Hansons Way","B00JV2H5I8","B007RB8HMI"
"The Last Ranger: A novel","B0BL6YQ61Y","B001ITVQ14"
"Embers of the Hands: Hidden Histories of the Viking Age","1324089237","B0DGL8W2JS"
"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","B0CC1J32NG","B001IGUQVI"
"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","0385544766","B001IGUQVI"
"Godwin: A Novel","0593701321","B001JP3S2M"
"Blackouts: A Novel","B0BQGDMFH6","B004SWIOXG"
"To the Limit: The Meaning of Endurance from Mexico to the Himalayas","1399403427","B08CGQDGPJ"
"The Secret Lives of Booksellers and Librarians: True Stories of the Magic of Reading (Heroes Among Us Book 4)","B0CDWDLCNS","B000APZGGS"
"Orbital: A Novel (Booker Prize Winner)","B0BZ5Y513V","B01A2MQ9DM"
"The God of the Woods: A Novel","B0CL1YQLB5","B001JS60D8"
"The Heart in Winter: A Novel","0385550596","B006GQUIEK"
"Burn: A novel","0593801628","B001ITVQ14"
"Martyr!: A novel","0593537610","B01MTJENUW"
"The God of the Woods: A Novel","0593418913","B001JS60D8"
"Getting to Know Death: A Meditation","1639734449","B000AQ6YCC"
"The Ministry of Time: A Novel","1668045141","B0C3D86WW7"
"Safe Enough: Crime Stories by the Author of Jack Reacher","B0CW1J3Y5G","B000APO0PQ"
"Blood Test: A Comedy","0593700856","B000AQ4H12"
"That Librarian: The Fight Against Book Banning in America","B0CQFXKTPW","B0CZ9VHZ8Y"
"The Life Impossible: A Novel","B0CGZFPKTZ","B001IO8C1Q"
"Checkout 19: A Novel","B097XBXQ1T","B01HRTCFVS"
"The Sequel: A Novel (The Book Series 2)","B0CQHM2KL5","B001HCV342"
"Here One Moment","0593798600","B00459IA54"
"We Solve Murders: A Novel","B0CQJHF3HQ","B074KL81KM"
"Creation Lake: A Novel","1982116528","B001JS1P24"
"The Kind Worth Killing: A Novel","0062267523","B00E5TKWX2"
"A Talent for Murder: A Novel","0063205033","B00E5TKWX2"
"A (Very) Short History of Life on Earth: 4.6 Billion Years in 12 Pithy Chapters","B092T8QDYW","B001IO9QAC"
"Invitation to a Banquet: A History of Chinese Food","B0BWGKNK7G","B001IGLRVG"
"I Cheerfully Refuse","B0CH1NHWNW","B001JS1KFQ"
"The Midnight Feast: An NPR Best Book of the Year","B0CL3FMNKJ","B00LMBVZNC"
"End of Story: An Enthralling Thriller with a Suspenseful Plot, Get Lost in the Pages and Unravel the Mystery","B078R46LCY","B074BPQ4X3"
"The Hunter: A Novel","B0C7729CF8","B001H6IGWU"
"The Hunter: A Novel","0593493435","B001H6IGWU"
"The Pale Blue Eye: A Novel","B000GCFX6S","B001ILKG5O"
"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","B0CDKLBD2W","B000AQ6KV2"
"Who Owns This Sentence?: A History of Copyrights and Wrongs","B0C97F8KPY","B00E8LWLYK"
"Outsider: An Old Man, a Mountain and the Search for a Hidden Past","B0B7NZHCKR","B0C2CXGGMV"
"The Winner: A Novel","0063353598","B003AE8M76"
"Still Waters: A Novel","1250325692","B07567W7ZV"
"The Body in Question: A Novel","B07RT71Z48","B001H6IEK4"
"One Perfect Couple","B0CL5G23ZF","B00OA8QDT0"
"The Golden Spoon: A Novel","B0B3Y9JVMK","B0BKH721LX"
"The Ferryman: A Novel","B0B8GZ58DK","B001H6J17E"
"Balloon Dog","B09X34KMRM","B000APMXVE"
"The Aosawa Murders","B07QN87LQB","B003UW4BO6"
"I Hope This Finds You Well: A Novel","B0CJ9TSSYB","B0D34BLRX8"
"Tokyo Ueno Station (National Book Award Winner): A Novel","B081914PR7","B001JXPK0C"
"Tokyo Ueno Station (National Book Award Winner): A Novel","B081914PR7","B004N9BVNO"
"A Travel Guide to the Middle Ages: The World Through Medieval Eyes","B0C97G1ZR6","B001JS9SQY"
"A Young People's History of the United States (For Young People Series)","B003B4IW2U","B000AQ01MQ"
"The Heaven & Earth Grocery Store: A Novel","B0BPNP7YQB","B000AP9SB2"
"The Covenant of Water (Oprah's Book Club)","B0BJSGV831","B000AP9LZ0"
"The Day Tripper: A Powerful Time Travel Redemption Story of Small Actions Leading to Big Consequences","B0C4PX8RD7","B086Z2XSNC"
"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and EverythingElse","B08PF965W9","B001K8IUCG"
"Wandering Stars: A novel","B0C772ZLMQ","B077TXLDMQ"
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","B003F4Z8SC"
"Salvation of a Saint: A Detective Galileo Novel (Detective Galileo Series Book 2)","B007RMYE9M","B003UVVURI"
"Zero at the Bone: Fifty Entries Against Despair","B0BQGJVCMT","B001JS1YMA"
"The Fury","B0BXTB6HSN","B07CZQY3KT"
"Ordinary Grace: A Novel","B008J2G5Y6","B001H6KG50"
"Scenes from a Childhood — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B07BX82VS9","B001JOR0S6"
"The Clementine Complex","B0BTZRQHJM","B07SXS7HMW"
"Everyone on This Train Is a Suspect: A Novel (The Ernest Cunningham Mysteries Book 2)","B0C6KMGND1","B07WWSMVWC"
"Northwoods: A Novel","B0C7RPT9B3","B0C9BXTVBR"
"I Know What You Did: A Novel","B0BJP5QFFM","B07KX9J53B"
"Heart Sutra","B0B72HGHW8","B0034NEPV0"
"You Dreamed of Empires: A Novel","B0C1YCKNK1","B001JWX44M"
"Northwoods: A Novel","B0C7RQ8Y2F","B0C9BXTVBR"
"The Devotion of Suspect X: A Detective Galileo Novel (Detective Galileo Series Book 1)","B0044781ZQ","B003UVVURI"
