"Product Name","ASIN","Resource Type","Our Price","Ownership Type","Relationship Status","Sortable Title","Sortable Author Name","Series Author","Series Title","Relation Type","Position In Collection","Ordered","Marketplace","Relationship Creation Date","Created At","Deleted By Customer"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T01:44:22Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T01:45:52Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T02:43:09Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T04:06:18Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T01:44:22Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T01:45:52Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T02:43:09Z","2025-07-31T06:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-08-01T04:06:18Z","2025-07-31T06:59:59Z","Not Available"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","ITEM","24 USD","Not Interested","Not Available","Heartwood A Read with Jenna Pick A Novel","Gaige, Amity","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-26T00:00:00Z","2025-07-28T06:59:59Z","Not Available"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","ITEM","24 USD","Not Interested","Not Available","Heartwood A Read with Jenna Pick A Novel","Gaige, Amity","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-26T00:00:00Z","2025-07-28T06:59:59Z","Not Available"
"Vera, or Faith: A Novel","0593595092","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-25T00:00:00Z","2025-07-27T06:59:59Z","Not Available"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","ITEM","19 USD","Not Interested","Not Available","Life as No One Knows It The Physics of Life's Emergence","Walker, Sara Imari","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-25T00:00:00Z","2025-07-27T06:59:59Z","Not Available"
"Vera, or Faith: A Novel","0593595092","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-25T00:00:00Z","2025-07-27T06:59:59Z","Not Available"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","ITEM","19 USD","Not Interested","Not Available","Life as No One Knows It The Physics of Life's Emergence","Walker, Sara Imari","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-25T00:00:00Z","2025-07-27T06:59:59Z","Not Available"
"All That Man Is: Shortlisted for the Man Booker Prize 2016","0224099779","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-21T00:00:00Z","2025-07-23T06:59:59Z","Not Available"
"All That Man Is: Shortlisted for the Man Booker Prize 2016","0224099779","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-21T00:00:00Z","2025-07-23T06:59:59Z","Not Available"
"Turbulence: A Novel","1982122730","ITEM","22 USD","Not Interested","Not Available","Turbulence A Novel","Szalay, David","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-20T00:00:00Z","2025-07-22T06:59:59Z","Not Available"
"Turbulence: A Novel","1982122730","ITEM","22 USD","Not Interested","Not Available","Turbulence A Novel","Szalay, David","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-20T00:00:00Z","2025-07-22T06:59:59Z","Not Available"
"The Woman in Suite 11: A Novel","B0DJM99D77","ITEM","15 USD","Item Owner","Terminated","Woman in Suite 11 A Novel, The","Ware, Ruth","Ware, Ruth B0DXF55HC3","Lo Blacklock B0DXF55HC3","PRIMARY",2,"Not Available","www.amazon.com","2025-07-08T10:58:23Z","2025-07-21T19:57:20Z","Yes"
"The Woman in Suite 11: A Novel","B0DJM99D77","ITEM","15 USD","Item Owner","Terminated","Woman in Suite 11 A Novel, The","Ware, Ruth","Ware, Ruth B0DXF55HC3","Lo Blacklock B0DXF55HC3","PRIMARY",2,"Not Available","www.amazon.com","2025-07-08T10:58:23Z","2025-07-21T19:57:20Z","Yes"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:44:51Z","2025-07-20T02:44:51Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:44:51Z","2025-07-20T02:44:51Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:43:16Z","2025-07-20T02:43:16Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:43:16Z","2025-07-20T02:43:16Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.ca","2025-07-20T02:43:16Z","2025-07-20T02:43:16Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:08:54Z","2025-07-20T02:08:54Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:08:54Z","2025-07-20T02:08:54Z","Not Available"
"The Last One at the Wedding: A Novel","1250895782","ITEM","15 USD","Not Interested","Not Available","Last One at the Wedding A Novel, The","Rekulak, Jason","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-17T00:00:00Z","2025-07-17T00:00:00Z","Not Available"
"The Last One at the Wedding: A Novel","1250895782","ITEM","15 USD","Not Interested","Not Available","Last One at the Wedding A Novel, The","Rekulak, Jason","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-17T00:00:00Z","2025-07-17T00:00:00Z","Not Available"
"London and the South-East","0224081586","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-13T00:00:00Z","2025-07-13T00:00:00Z","Not Available"
"London and the South-East","0224081586","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-13T00:00:00Z","2025-07-13T00:00:00Z","Not Available"
"The Maid's Secret: A Maid Novel (Molly the Maid Book 3)","B0D9F3KFPM","ITEM","15 USD","Item Owner","Terminated","Maid's Secret A Maid Novel Molly the Maid Book 3, The","Prose, Nita","Prose, Nita B0CL4D69L1","Molly the Maid B0CL4D69L1","PRIMARY",3,"Not Available","www.amazon.com","2025-06-05T11:47:25Z","2025-06-24T04:40:58Z","Yes"
"King of Ashes: A Novel","B0DJ7XG2MQ","Not Available","Not Available","Sample Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-06-23T23:53:25Z","2025-06-24T00:02:39Z","Yes"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","ITEM","15 USD","Item Owner","Terminated","River Is Waiting Oprah's Book Club A Novel, The","Lamb, Wally","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-13T16:26:48Z","2025-06-23T00:58:26Z","Yes"
