"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","Not Interested","GR"
"Heartwood (A Read with Jenna Pick): A Novel","1668063603","Not Interested","GR"
"Vera, or Faith: A Novel","0593595092","Not Interested","GR"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","Not Interested","GR"
"Vera, or Faith: A Novel","0593595092","Not Interested","GR"
"Life as No One Knows It: The Physics of Life's Emergence","0593191897","Not Interested","GR"
"All That Man Is: Shortlisted for the Man Booker Prize 2016","0224099779","Not Interested","GR"
"All That Man Is: Shortlisted for the Man Booker Prize 2016","0224099779","Not Interested","GR"
"Turbulence: A Novel","1982122730","Not Interested","GR"
"Turbulence: A Novel","1982122730","Not Interested","GR"
"The Woman in Suite 11: A Novel","B0DJM99D77","Item Owner","PublicLibraryLending"
"The Woman in Suite 11: A Novel","B0DJM99D77","Item Owner","PublicLibraryLending"
"The Last One at the Wedding: A Novel","1250895782","Not Interested","GR"
"The Last One at the Wedding: A Novel","1250895782","Not Interested","GR"
"London and the South-East","0224081586","Not Interested","GR"
"London and the South-East","0224081586","Not Interested","GR"
"The Maid's Secret: A Maid Novel (Molly the Maid Book 3)","B0D9F3KFPM","Item Owner","PublicLibraryLending"
"King of Ashes: A Novel","B0DJ7XG2MQ","Sample Owner","Sample"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","Item Owner","PublicLibraryLending"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","Item Owner","PublicLibraryLending"
"So Far Gone: A Novel","B0DGY7NRZJ","Not Interested","GR"
"A Few Seconds of Panic: A 5-Foot-8, 170-Pound, 43-Year-Old Sportswriter Plays in the NFL","1594201781","Not Interested","GR"
"The Game","0470835842","Not Interested","GR"
"So Far Gone: A Novel","B0DGY7NRZJ","Not Interested","GR"
"A Few Seconds of Panic: A 5-Foot-8, 170-Pound, 43-Year-Old Sportswriter Plays in the NFL","1594201781","Not Interested","GR"
"The Game","0470835842","Not Interested","GR"
"Aldo Leopold: A Sand County Almanac & Other Writings on Conservation and Ecology (LOA #238) (Library of America)","B00BUP18U0","Item Owner","PublicLibraryLending"
"Goalie Mindset Secrets: 7 Must Have Goalie Mindset Secrets You Don't Learn in School!","B07LGLF1JG","Item Owner","Purchase"
"So You Want to Talk About Race","B07QBNKJTZ","Item Owner","Purchase"
"The Rider","1582342903","Not Interested","GR"
"The Rider","1582342903","Not Interested","GR"
"The Wedding People: A Novel","B0CJ839C56","Item Owner","PublicLibraryLending"
"The Emperor of Gladness: Oprah's Book Club: A Novel","059383187X","Not Interested","GR"
