"Product Name","ASIN","Ownership Type","Tag Name","Tag Scope","Tag Source Group","Tag Source Subgroup","Image URL","Validity Start","Validity End"
"Not Available","Not Available","Customer Metadata","By Ruth Ware","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/g18q1j4ssa0idvss2p6fctiubk.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Wally Lamb","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/31dNB2hkSsL.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","By Nita Prose","Not Available","author","primary","https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/udmcl29u081oenu4fov22b59mc.jpg","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Domestic Life","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Memoirs","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Suspense","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Family Saga","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Women Sleuths","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Mothers & Children","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Computers & Technology","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Friendship","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Crime & Mystery","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Classics","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Reference","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Mystery","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Travelers & Explorers","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Hispanic","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Psychological Thrillers","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Small Town & Rural","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Family Life","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Psychological","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Friendship","Not Available","genre","browse-node-assigned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Coming of Age","Not Available","genre","browse-node-learned","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
